"","1 Ano","3 Anos"
"2013-09-23",NA,NA
"2013-09-24",NA,NA
"2013-09-25",NA,NA
"2013-09-26",NA,NA
"2013-09-27",NA,NA
"2013-09-30",NA,NA
"2013-10-01",NA,NA
"2013-10-02",NA,NA
"2013-10-03",NA,NA
"2013-10-04",NA,NA
"2013-10-07",NA,NA
"2013-10-08",NA,NA
"2013-10-09",NA,NA
"2013-10-10",NA,NA
"2013-10-11",NA,NA
"2013-10-14",NA,NA
"2013-10-15",NA,NA
"2013-10-16",NA,NA
"2013-10-17",NA,NA
"2013-10-18",NA,NA
"2013-10-21",NA,NA
"2013-10-22",NA,NA
"2013-10-23",NA,NA
"2013-10-24",NA,NA
"2013-10-25",NA,NA
"2013-10-28",NA,NA
"2013-10-29",NA,NA
"2013-10-30",NA,NA
"2013-10-31",NA,NA
"2013-11-01",NA,NA
"2013-11-04",NA,NA
"2013-11-05",NA,NA
"2013-11-06",NA,NA
"2013-11-07",NA,NA
"2013-11-08",NA,NA
"2013-11-11",NA,NA
"2013-11-12",NA,NA
"2013-11-13",NA,NA
"2013-11-14",NA,NA
"2013-11-15",NA,NA
"2013-11-18",NA,NA
"2013-11-19",NA,NA
"2013-11-20",NA,NA
"2013-11-21",NA,NA
"2013-11-22",NA,NA
"2013-11-25",NA,NA
"2013-11-26",NA,NA
"2013-11-27",NA,NA
"2013-11-28",NA,NA
"2013-11-29",NA,NA
"2013-12-02",NA,NA
"2013-12-03",NA,NA
"2013-12-04",NA,NA
"2013-12-05",NA,NA
"2013-12-06",NA,NA
"2013-12-09",NA,NA
"2013-12-10",NA,NA
"2013-12-11",NA,NA
"2013-12-12",NA,NA
"2013-12-13",NA,NA
"2013-12-16",NA,NA
"2013-12-17",NA,NA
"2013-12-18",NA,NA
"2013-12-19",NA,NA
"2013-12-20",NA,NA
"2013-12-23",NA,NA
"2013-12-24",NA,NA
"2013-12-25",NA,NA
"2013-12-26",NA,NA
"2013-12-27",NA,NA
"2013-12-30",NA,NA
"2013-12-31",NA,NA
"2014-01-01",NA,NA
"2014-01-02",NA,NA
"2014-01-03",NA,NA
"2014-01-06",NA,NA
"2014-01-07",NA,NA
"2014-01-08",NA,NA
"2014-01-09",NA,NA
"2014-01-10",NA,NA
"2014-01-13",NA,NA
"2014-01-14",NA,NA
"2014-01-15",NA,NA
"2014-01-16",NA,NA
"2014-01-17",NA,NA
"2014-01-20",NA,NA
"2014-01-21",NA,NA
"2014-01-22",NA,NA
"2014-01-23",NA,NA
"2014-01-24",NA,NA
"2014-01-27",NA,NA
"2014-01-28",NA,NA
"2014-01-29",NA,NA
"2014-01-30",NA,NA
"2014-01-31",NA,NA
"2014-02-03",NA,NA
"2014-02-04",NA,NA
"2014-02-05",NA,NA
"2014-02-06",NA,NA
"2014-02-07",NA,NA
"2014-02-10",NA,NA
"2014-02-11",NA,NA
"2014-02-12",NA,NA
"2014-02-13",NA,NA
"2014-02-14",NA,NA
"2014-02-17",NA,NA
"2014-02-18",NA,NA
"2014-02-19",NA,NA
"2014-02-20",NA,NA
"2014-02-21",NA,NA
"2014-02-24",NA,NA
"2014-02-25",NA,NA
"2014-02-26",NA,NA
"2014-02-27",NA,NA
"2014-02-28",NA,NA
"2014-03-03",NA,NA
"2014-03-04",NA,NA
"2014-03-05",NA,NA
"2014-03-06",NA,NA
"2014-03-07",NA,NA
"2014-03-10",NA,NA
"2014-03-11",NA,NA
"2014-03-12",NA,NA
"2014-03-13",NA,NA
"2014-03-14",NA,NA
"2014-03-17",NA,NA
"2014-03-18",NA,NA
"2014-03-19",NA,NA
"2014-03-20",NA,NA
"2014-03-21",NA,NA
"2014-03-24",NA,NA
"2014-03-25",NA,NA
"2014-03-26",NA,NA
"2014-03-27",NA,NA
"2014-03-28",NA,NA
"2014-03-31",NA,NA
"2014-04-01",NA,NA
"2014-04-02",NA,NA
"2014-04-03",NA,NA
"2014-04-04",NA,NA
"2014-04-07",NA,NA
"2014-04-08",NA,NA
"2014-04-09",NA,NA
"2014-04-10",NA,NA
"2014-04-11",NA,NA
"2014-04-14",NA,NA
"2014-04-15",NA,NA
"2014-04-16",NA,NA
"2014-04-17",NA,NA
"2014-04-18",NA,NA
"2014-04-21",NA,NA
"2014-04-22",NA,NA
"2014-04-23",NA,NA
"2014-04-24",NA,NA
"2014-04-25",NA,NA
"2014-04-28",NA,NA
"2014-04-29",NA,NA
"2014-04-30",NA,NA
"2014-05-01",NA,NA
"2014-05-02",NA,NA
"2014-05-05",NA,NA
"2014-05-06",NA,NA
"2014-05-07",NA,NA
"2014-05-08",NA,NA
"2014-05-09",NA,NA
"2014-05-12",NA,NA
"2014-05-13",NA,NA
"2014-05-14",4.48,NA
"2014-05-15",4.02,NA
"2014-05-16",3.58,NA
"2014-05-19",3.52,NA
"2014-05-20",3.34,NA
"2014-05-21",3.51,NA
"2014-05-22",3.73,NA
"2014-05-23",4.2,NA
"2014-05-26",4.91,NA
"2014-05-27",5.3,NA
"2014-05-28",5.52,NA
"2014-05-29",5.52,NA
"2014-05-30",6,NA
"2014-06-02",6.33,NA
"2014-06-03",6.49,NA
"2014-06-04",6.77,NA
"2014-06-05",7.17,NA
"2014-06-06",8.07,NA
"2014-06-09",8.63,NA
"2014-06-10",8.83,NA
"2014-06-11",8.74,NA
"2014-06-12",9.24,NA
"2014-06-13",9.48,NA
"2014-06-16",9.23,NA
"2014-06-17",8.91,NA
"2014-06-18",8.84,NA
"2014-06-19",9.09,NA
"2014-06-20",9.36,NA
"2014-06-23",10.71,NA
"2014-06-24",11.19,NA
"2014-06-25",11.88,NA
"2014-06-26",11.71,NA
"2014-06-27",11.02,NA
"2014-06-30",10.41,NA
"2014-07-01",10.43,NA
"2014-07-02",10.22,NA
"2014-07-03",10.23,NA
"2014-07-04",10.52,NA
"2014-07-07",10.15,NA
"2014-07-08",9.75,NA
"2014-07-09",9.27,NA
"2014-07-10",8.52,NA
"2014-07-11",8.64,NA
"2014-07-14",8.4,NA
"2014-07-15",8.28,NA
"2014-07-16",8.43,NA
"2014-07-17",8.41,NA
"2014-07-18",8.23,NA
"2014-07-21",7.97,NA
"2014-07-22",8.21,NA
"2014-07-23",8.34,NA
"2014-07-24",8.43,NA
"2014-07-25",8.63,NA
"2014-07-28",8.66,NA
"2014-07-29",8.77,NA
"2014-07-30",8.71,NA
"2014-07-31",8.07,NA
"2014-08-01",7.57,NA
"2014-08-04",7.47,NA
"2014-08-05",7.07,NA
"2014-08-06",6.78,NA
"2014-08-07",6.82,NA
"2014-08-08",7.01,NA
"2014-08-11",7.49,NA
"2014-08-12",7.39,NA
"2014-08-13",7.52,NA
"2014-08-14",7.93,NA
"2014-08-15",8.11,NA
"2014-08-18",8.74,NA
"2014-08-19",9.73,NA
"2014-08-20",10.14,NA
"2014-08-21",10.3,NA
"2014-08-22",10.51,NA
"2014-08-25",10.74,NA
"2014-08-26",10.76,NA
"2014-08-27",10.92,NA
"2014-08-28",11.18,NA
"2014-08-29",11.51,NA
"2014-09-01",11.2,NA
"2014-09-02",11.29,NA
"2014-09-03",11.25,NA
"2014-09-04",11.5,NA
"2014-09-05",11.67,NA
"2014-09-08",11.75,NA
"2014-09-09",11.23,NA
"2014-09-10",10.77,NA
"2014-09-11",10.61,NA
"2014-09-12",10.16,NA
"2014-09-15",9.87,NA
"2014-09-16",9.72,NA
"2014-09-17",9.53,NA
"2014-09-18",9.65,NA
"2014-09-19",9.55,NA
"2014-09-22",9.11,NA
"2014-09-23",8.84,NA
"2014-09-24",9.06,NA
"2014-09-25",8.77,NA
"2014-09-26",8.7,NA
"2014-09-29",8.44,NA
"2014-09-30",8.62,NA
"2014-10-01",8.66,NA
"2014-10-02",8.01,NA
"2014-10-03",8.59,NA
"2014-10-06",9,NA
"2014-10-07",8.56,NA
"2014-10-08",8.49,NA
"2014-10-09",8.6,NA
"2014-10-10",8.07,NA
"2014-10-13",7.49,NA
"2014-10-14",7.14,NA
"2014-10-15",6.72,NA
"2014-10-16",6.13,NA
"2014-10-17",6.77,NA
"2014-10-20",6.59,NA
"2014-10-21",6.96,NA
"2014-10-22",6.98,NA
"2014-10-23",6.89,NA
"2014-10-24",7.09,NA
"2014-10-27",7.03,NA
"2014-10-28",7.19,NA
"2014-10-29",7.29,NA
"2014-10-30",7.42,NA
"2014-10-31",8.03,NA
"2014-11-03",7.82,NA
"2014-11-04",7.73,NA
"2014-11-05",7.64,NA
"2014-11-06",7.94,NA
"2014-11-07",7.96,NA
"2014-11-10",7.97,NA
"2014-11-11",8.1,NA
"2014-11-12",7.92,NA
"2014-11-13",8.06,NA
"2014-11-14",7.92,NA
"2014-11-17",7.51,NA
"2014-11-18",7.49,NA
"2014-11-19",7.4,NA
"2014-11-20",7.65,NA
"2014-11-21",8.53,NA
"2014-11-24",8.67,NA
"2014-11-25",8.74,NA
"2014-11-26",8.61,NA
"2014-11-27",8.68,NA
"2014-11-28",8.9,NA
"2014-12-01",8.51,NA
"2014-12-02",8.52,NA
"2014-12-03",8.88,NA
"2014-12-04",9.1,NA
"2014-12-05",9.66,NA
"2014-12-08",9.78,NA
"2014-12-09",9.2,NA
"2014-12-10",8.73,NA
"2014-12-11",8.61,NA
"2014-12-12",8.4,NA
"2014-12-15",8.27,NA
"2014-12-16",7.91,NA
"2014-12-17",8.13,NA
"2014-12-18",9.2,NA
"2014-12-19",9.3,NA
"2014-12-22",9.35,NA
"2014-12-23",9.37,NA
"2014-12-24",9.19,NA
"2014-12-25",9.24,NA
"2014-12-26",9.26,NA
"2014-12-29",9.47,NA
"2014-12-30",9.33,NA
"2014-12-31",9.31,NA
"2015-01-01",9.21,NA
"2015-01-02",9.36,NA
"2015-01-05",9.13,NA
"2015-01-06",8.67,NA
"2015-01-07",9.13,NA
"2015-01-08",9.59,NA
"2015-01-09",9.51,NA
"2015-01-12",9.57,NA
"2015-01-13",9.63,NA
"2015-01-14",9.56,NA
"2015-01-15",10.01,NA
"2015-01-16",10.07,NA
"2015-01-19",10.02,NA
"2015-01-20",10.01,NA
"2015-01-21",10,NA
"2015-01-22",10.75,NA
"2015-01-23",11.86,NA
"2015-01-26",12.28,NA
"2015-01-27",12.82,NA
"2015-01-28",13.22,NA
"2015-01-29",12.97,NA
"2015-01-30",13.03,NA
"2015-02-02",12.83,NA
"2015-02-03",12.83,NA
"2015-02-04",13.51,NA
"2015-02-05",13.88,NA
"2015-02-06",13.82,NA
"2015-02-09",13.24,NA
"2015-02-10",12.95,NA
"2015-02-11",12.83,NA
"2015-02-12",12.71,NA
"2015-02-13",12.63,NA
"2015-02-16",12.67,NA
"2015-02-17",12.29,NA
"2015-02-18",12.54,NA
"2015-02-19",12.62,NA
"2015-02-20",12.86,NA
"2015-02-23",13.09,NA
"2015-02-24",13.14,NA
"2015-02-25",13,NA
"2015-02-26",13.32,NA
"2015-02-27",13.34,NA
"2015-03-02",13.18,NA
"2015-03-03",13.03,NA
"2015-03-04",13.49,NA
"2015-03-05",13.36,NA
"2015-03-06",13.24,NA
"2015-03-09",13.41,NA
"2015-03-10",13.68,NA
"2015-03-11",14.38,NA
"2015-03-12",14.71,NA
"2015-03-13",15.26,NA
"2015-03-16",15.62,NA
"2015-03-17",15.7,NA
"2015-03-18",15.77,NA
"2015-03-19",15.61,NA
"2015-03-20",15.75,NA
"2015-03-23",15.36,NA
"2015-03-24",15.39,NA
"2015-03-25",14.93,NA
"2015-03-26",14.5,NA
"2015-03-27",14.58,NA
"2015-03-30",15,NA
"2015-03-31",14.99,NA
"2015-04-01",14.87,NA
"2015-04-02",14.5,NA
"2015-04-03",14.23,NA
"2015-04-06",14.18,NA
"2015-04-07",14.56,NA
"2015-04-08",15.32,NA
"2015-04-09",15.94,NA
"2015-04-10",16.12,NA
"2015-04-13",16.39,NA
"2015-04-14",16.8,NA
"2015-04-15",17.06,NA
"2015-04-16",16.51,NA
"2015-04-17",15.57,NA
"2015-04-20",15.56,NA
"2015-04-21",15.63,NA
"2015-04-22",15.51,NA
"2015-04-23",14.99,NA
"2015-04-24",15.1,NA
"2015-04-27",14.96,NA
"2015-04-28",14.78,NA
"2015-04-29",14.02,NA
"2015-04-30",13.22,NA
"2015-05-01",12.97,NA
"2015-05-04",13.08,NA
"2015-05-05",12.25,NA
"2015-05-06",11.48,NA
"2015-05-07",11.81,NA
"2015-05-08",12.65,NA
"2015-05-11",12.28,NA
"2015-05-12",11.53,NA
"2015-05-13",11.1,NA
"2015-05-14",10.95,NA
"2015-05-15",11.34,NA
"2015-05-18",11.73,NA
"2015-05-19",12.48,NA
"2015-05-20",12.57,NA
"2015-05-21",12.71,NA
"2015-05-22",12.79,NA
"2015-05-25",12.6,NA
"2015-05-26",12.47,NA
"2015-05-27",12.61,NA
"2015-05-28",12.2,NA
"2015-05-29",11.73,NA
"2015-06-01",11.51,NA
"2015-06-02",10.66,NA
"2015-06-03",10.13,NA
"2015-06-04",9.94,NA
"2015-06-05",9.98,NA
"2015-06-08",9.35,NA
"2015-06-09",8.43,NA
"2015-06-10",8.6,NA
"2015-06-11",8.89,NA
"2015-06-12",8.94,NA
"2015-06-15",8.5,NA
"2015-06-16",8.66,NA
"2015-06-17",8.77,NA
"2015-06-18",8.76,NA
"2015-06-19",9.06,NA
"2015-06-22",9.13,NA
"2015-06-23",9.24,NA
"2015-06-24",9.48,NA
"2015-06-25",9.46,NA
"2015-06-26",9.6,NA
"2015-06-29",8.74,NA
"2015-06-30",8.62,NA
"2015-07-01",9.09,NA
"2015-07-02",8.82,NA
"2015-07-03",8.74,NA
"2015-07-06",8.49,NA
"2015-07-07",8.57,NA
"2015-07-08",8.17,NA
"2015-07-09",8.48,NA
"2015-07-10",8.81,NA
"2015-07-13",9.86,NA
"2015-07-14",10.09,NA
"2015-07-15",10.27,NA
"2015-07-16",10.78,NA
"2015-07-17",10.69,NA
"2015-07-20",10.96,NA
"2015-07-21",10.61,NA
"2015-07-22",10.6,NA
"2015-07-23",10,NA
"2015-07-24",9.59,NA
"2015-07-27",8.87,NA
"2015-07-28",9.19,NA
"2015-07-29",9.61,NA
"2015-07-30",9.82,NA
"2015-07-31",10,NA
"2015-08-03",10.87,NA
"2015-08-04",11.36,NA
"2015-08-05",11.38,NA
"2015-08-06",10.97,NA
"2015-08-07",11.14,NA
"2015-08-10",11.29,NA
"2015-08-11",10.95,NA
"2015-08-12",9.63,NA
"2015-08-13",9.66,NA
"2015-08-14",9.5,NA
"2015-08-17",9.58,NA
"2015-08-18",9.4,NA
"2015-08-19",8.67,NA
"2015-08-20",7.45,NA
"2015-08-21",6.11,NA
"2015-08-24",4.11,NA
"2015-08-25",4.29,NA
"2015-08-26",4.24,NA
"2015-08-27",5.08,NA
"2015-08-28",5.13,NA
"2015-08-31",5.02,NA
"2015-09-01",4.05,NA
"2015-09-02",4.1,NA
"2015-09-03",4.84,NA
"2015-09-04",4.48,NA
"2015-09-07",4.18,NA
"2015-09-08",4.33,NA
"2015-09-09",4.64,NA
"2015-09-10",4.41,NA
"2015-09-11",4.55,NA
"2015-09-14",4.36,NA
"2015-09-15",4.63,NA
"2015-09-16",5.07,NA
"2015-09-17",5.18,NA
"2015-09-18",4.87,NA
"2015-09-21",4.86,NA
"2015-09-22",4.41,NA
"2015-09-23",4.46,NA
"2015-09-24",4.49,NA
"2015-09-25",4.46,NA
"2015-09-28",3.82,NA
"2015-09-29",3.47,NA
"2015-09-30",4.34,NA
"2015-10-01",4.37,NA
"2015-10-02",4.76,NA
"2015-10-05",6.01,NA
"2015-10-06",5.67,NA
"2015-10-07",5.53,NA
"2015-10-08",6.01,NA
"2015-10-09",6.13,NA
"2015-10-12",6.48,NA
"2015-10-13",6.69,NA
"2015-10-14",6.71,NA
"2015-10-15",7.09,NA
"2015-10-16",7.7,NA
"2015-10-19",8.33,NA
"2015-10-20",7.53,NA
"2015-10-21",7.46,NA
"2015-10-22",7.53,NA
"2015-10-23",8.14,NA
"2015-10-26",8.13,NA
"2015-10-27",7.91,NA
"2015-10-28",8.21,NA
"2015-10-29",8.07,NA
"2015-10-30",7.66,NA
"2015-11-02",7.54,NA
"2015-11-03",7.17,NA
"2015-11-04",7.25,NA
"2015-11-05",7.44,NA
"2015-11-06",7.33,NA
"2015-11-09",6.85,NA
"2015-11-10",7,NA
"2015-11-11",6.94,NA
"2015-11-12",6.47,NA
"2015-11-13",6.27,NA
"2015-11-16",6.42,NA
"2015-11-17",7.02,NA
"2015-11-18",7.25,NA
"2015-11-19",7.27,NA
"2015-11-20",7.54,NA
"2015-11-23",7.52,NA
"2015-11-24",6.62,NA
"2015-11-25",6.78,NA
"2015-11-26",6.67,NA
"2015-11-27",6.71,NA
"2015-11-30",6.6,NA
"2015-12-01",6.58,NA
"2015-12-02",7.05,NA
"2015-12-03",5.59,NA
"2015-12-04",5.03,NA
"2015-12-07",5.51,NA
"2015-12-08",4.69,NA
"2015-12-09",4.42,NA
"2015-12-10",4.79,NA
"2015-12-11",4.64,NA
"2015-12-14",4.1,NA
"2015-12-15",4.99,NA
"2015-12-16",5.94,NA
"2015-12-17",6.56,NA
"2015-12-18",5.84,NA
"2015-12-21",4.54,NA
"2015-12-22",4.16,NA
"2015-12-23",4.12,NA
"2015-12-24",4.01,NA
"2015-12-25",4.01,NA
"2015-12-28",3.92,NA
"2015-12-29",4.22,NA
"2015-12-30",3.96,NA
"2015-12-31",3.86,NA
"2016-01-01",3.71,NA
"2016-01-04",3.29,NA
"2016-01-05",3.4,NA
"2016-01-06",3.3,NA
"2016-01-07",2.67,NA
"2016-01-08",1.99,NA
"2016-01-11",1.13,NA
"2016-01-12",1.53,NA
"2016-01-13",1.26,NA
"2016-01-14",0.48,NA
"2016-01-15",0.02,NA
"2016-01-18",-0.43,NA
"2016-01-19",-0.68,NA
"2016-01-20",-1.41,NA
"2016-01-21",-1.25,NA
"2016-01-22",-0.45,NA
"2016-01-25",-1.29,NA
"2016-01-26",-2.07,NA
"2016-01-27",-2.15,NA
"2016-01-28",-2.09,NA
"2016-01-29",-1.16,NA
"2016-02-01",-1.12,NA
"2016-02-02",-1.51,NA
"2016-02-03",-1.92,NA
"2016-02-04",-2.4,NA
"2016-02-05",-2.86,NA
"2016-02-08",-3.65,NA
"2016-02-09",-4.41,NA
"2016-02-10",-4,NA
"2016-02-11",-4.82,NA
"2016-02-12",-4.52,NA
"2016-02-15",-4.18,NA
"2016-02-16",-3.89,NA
"2016-02-17",-3.42,NA
"2016-02-18",-2.8,NA
"2016-02-19",-3.14,NA
"2016-02-22",-2.72,NA
"2016-02-23",-3.02,NA
"2016-02-24",-3.41,NA
"2016-02-25",-3.31,NA
"2016-02-26",-3.05,NA
"2016-02-29",-3.08,NA
"2016-03-01",-2.73,NA
"2016-03-02",-2.48,NA
"2016-03-03",-2.18,NA
"2016-03-04",-2.13,NA
"2016-03-07",-2.42,NA
"2016-03-08",-2.53,NA
"2016-03-09",-2.74,NA
"2016-03-10",-3.03,NA
"2016-03-11",-3.06,NA
"2016-03-14",-2.88,NA
"2016-03-15",-3.23,NA
"2016-03-16",-3.36,NA
"2016-03-17",-3.23,NA
"2016-03-18",-3.05,NA
"2016-03-21",-3.19,NA
"2016-03-22",-3.28,NA
"2016-03-23",-2.91,NA
"2016-03-24",-3.19,NA
"2016-03-25",-2.68,NA
"2016-03-28",-2.38,NA
"2016-03-29",-2.41,NA
"2016-03-30",-2.65,NA
"2016-03-31",-2.86,NA
"2016-04-01",-2.93,NA
"2016-04-04",-2.74,NA
"2016-04-05",-2.93,NA
"2016-04-06",-2.97,NA
"2016-04-07",-3.37,NA
"2016-04-08",-3.64,NA
"2016-04-11",-4.03,NA
"2016-04-12",-4.3,NA
"2016-04-13",-3.62,NA
"2016-04-14",-3.35,NA
"2016-04-15",-3.48,NA
"2016-04-18",-3.02,NA
"2016-04-19",-2.34,NA
"2016-04-20",-2.34,NA
"2016-04-21",-2.52,NA
"2016-04-22",-2.41,NA
"2016-04-25",-2.41,NA
"2016-04-26",-2.55,NA
"2016-04-27",-2.31,NA
"2016-04-28",-1.8,NA
"2016-04-29",-1.4,NA
"2016-05-02",-1.02,NA
"2016-05-03",-1.13,NA
"2016-05-04",-1.45,NA
"2016-05-05",-0.85,NA
"2016-05-06",0.01,NA
"2016-05-09",-0.02,NA
"2016-05-10",-0.53,NA
"2016-05-11",-0.64,NA
"2016-05-12",-0.09,5.02
"2016-05-13",0.2,5
"2016-05-16",-0.01,4.84
"2016-05-17",-0.36,4.84
"2016-05-18",-0.65,4.72
"2016-05-19",-1.33,4.7
"2016-05-20",-1.19,4.79
"2016-05-23",-1.14,4.89
"2016-05-24",-0.95,5.24
"2016-05-25",-0.71,5.37
"2016-05-26",-0.71,5.42
"2016-05-27",-0.7,5.49
"2016-05-30",-0.56,5.65
"2016-05-31",-0.37,5.74
"2016-06-01",-0.27,5.83
"2016-06-02",0.54,5.96
"2016-06-03",1.02,6.01
"2016-06-06",1.28,6.14
"2016-06-07",1.5,6.38
"2016-06-08",1.93,6.4
"2016-06-09",2.52,6.45
"2016-06-10",2.02,6.55
"2016-06-13",0.96,6.46
"2016-06-14",0.77,6.32
"2016-06-15",1.32,6.26
"2016-06-16",1.17,6.18
"2016-06-17",0.98,6.13
"2016-06-20",1.49,6.37
"2016-06-21",1.31,6.87
"2016-06-22",1,7.02
"2016-06-23",0.86,7.29
"2016-06-24",0.11,7.01
"2016-06-27",-0.34,6.61
"2016-06-28",0.01,6.54
"2016-06-29",1.31,6.71
"2016-06-30",1.99,6.82
"2016-07-01",2.01,6.89
"2016-07-04",2.19,6.98
"2016-07-05",2.2,6.89
"2016-07-06",2.02,6.8
"2016-07-07",1.94,6.72
"2016-07-08",2.96,6.74
"2016-07-11",3.29,6.88
"2016-07-12",3.4,6.86
"2016-07-13",2.7,6.84
"2016-07-14",2.49,6.81
"2016-07-15",2.05,6.8
"2016-07-18",1.75,6.79
"2016-07-19",1.59,6.73
"2016-07-20",1.7,6.78
"2016-07-21",2,6.77
"2016-07-22",2.19,6.86
"2016-07-25",2.43,6.94
"2016-07-26",2.63,6.98
"2016-07-27",3.45,7.02
"2016-07-28",3.09,7.02
"2016-07-29",2.93,7.04
"2016-08-01",2.48,6.96
"2016-08-02",1.95,6.71
"2016-08-03",1.65,6.57
"2016-08-04",2.02,6.7
"2016-08-05",2.26,6.88
"2016-08-08",2.86,7.05
"2016-08-09",3.14,7.11
"2016-08-10",3.1,7.05
"2016-08-11",3.59,7.06
"2016-08-12",4.47,7.16
"2016-08-15",4.26,7.14
"2016-08-16",3.88,7.12
"2016-08-17",3.46,7.29
"2016-08-18",3.6,7.43
"2016-08-19",3.88,7.41
"2016-08-22",4.78,7.47
"2016-08-23",6.26,7.53
"2016-08-24",8.25,7.46
"2016-08-25",7.8,7.37
"2016-08-26",7.55,7.48
"2016-08-29",6.64,7.64
"2016-08-30",6.51,7.57
"2016-08-31",6.61,7.58
"2016-09-01",7.44,7.52
"2016-09-02",7.52,7.57
"2016-09-05",6.95,7.62
"2016-09-06",7.55,7.74
"2016-09-07",7.62,7.66
"2016-09-08",6.89,7.47
"2016-09-09",5.89,7.15
"2016-09-12",6.09,7.02
"2016-09-13",5.89,6.88
"2016-09-14",5.9,6.79
"2016-09-15",6.02,6.72
"2016-09-16",5.8,6.74
"2016-09-19",5.91,6.68
"2016-09-20",6.22,6.66
"2016-09-21",6.3,6.78
"2016-09-22",7.05,6.97
"2016-09-23",7.32,6.93
"2016-09-26",7.33,6.82
"2016-09-27",7.36,6.87
"2016-09-28",8.32,6.94
"2016-09-29",8.66,6.97
"2016-09-30",7.86,6.87
"2016-10-03",7.73,6.93
"2016-10-04",7.43,6.98
"2016-10-05",6.47,6.92
"2016-10-06",6.38,6.95
"2016-10-07",6.1,6.99
"2016-10-10",6,6.99
"2016-10-11",6.11,6.9
"2016-10-12",5.95,6.76
"2016-10-13",6.2,6.71
"2016-10-14",6.38,6.68
"2016-10-17",5.96,6.67
"2016-10-18",5.98,6.64
"2016-10-19",6.06,6.63
"2016-10-20",6.36,6.62
"2016-10-21",6.41,6.59
"2016-10-24",5.73,6.62
"2016-10-25",4.84,6.59
"2016-10-26",4.35,6.44
"2016-10-27",4.08,6.31
"2016-10-28",3.78,6.23
"2016-10-31",3.61,6.17
"2016-11-01",3.58,6.02
"2016-11-02",2.85,5.86
"2016-11-03",2.4,5.71
"2016-11-04",2.29,5.74
"2016-11-07",2.82,5.9
"2016-11-08",2.84,5.89
"2016-11-09",2.84,5.83
"2016-11-10",2.72,5.84
"2016-11-11",2.44,5.8
"2016-11-14",2.87,5.79
"2016-11-15",3.42,5.77
"2016-11-16",3.31,5.75
"2016-11-17",3.05,5.81
"2016-11-18",2.86,5.85
"2016-11-21",2.76,5.91
"2016-11-22",2.76,5.96
"2016-11-23",2.7,5.92
"2016-11-24",2.94,5.87
"2016-11-25",2.53,5.86
"2016-11-28",2.56,5.9
"2016-11-29",2.45,5.88
"2016-11-30",2.34,5.81
"2016-12-01",1.71,5.69
"2016-12-02",1.69,5.85
"2016-12-05",3.03,5.92
"2016-12-06",3.57,6.09
"2016-12-07",3.76,6.24
"2016-12-08",4.69,6.35
