"","1 Ano","3 Anos"
"2013-09-23",NA,NA
"2013-09-24",NA,NA
"2013-09-25",NA,NA
"2013-09-26",NA,NA
"2013-09-27",NA,NA
"2013-09-30",NA,NA
"2013-10-01",NA,NA
"2013-10-02",NA,NA
"2013-10-03",NA,NA
"2013-10-04",NA,NA
"2013-10-07",NA,NA
"2013-10-08",NA,NA
"2013-10-09",NA,NA
"2013-10-10",NA,NA
"2013-10-11",NA,NA
"2013-10-14",NA,NA
"2013-10-15",NA,NA
"2013-10-16",NA,NA
"2013-10-17",NA,NA
"2013-10-18",NA,NA
"2013-10-21",NA,NA
"2013-10-22",NA,NA
"2013-10-23",NA,NA
"2013-10-24",NA,NA
"2013-10-25",NA,NA
"2013-10-28",NA,NA
"2013-10-29",NA,NA
"2013-10-30",NA,NA
"2013-10-31",NA,NA
"2013-11-01",NA,NA
"2013-11-04",NA,NA
"2013-11-05",NA,NA
"2013-11-06",NA,NA
"2013-11-07",NA,NA
"2013-11-08",NA,NA
"2013-11-11",NA,NA
"2013-11-12",NA,NA
"2013-11-13",NA,NA
"2013-11-14",NA,NA
"2013-11-15",NA,NA
"2013-11-18",NA,NA
"2013-11-19",NA,NA
"2013-11-20",NA,NA
"2013-11-21",NA,NA
"2013-11-22",NA,NA
"2013-11-25",NA,NA
"2013-11-26",NA,NA
"2013-11-27",NA,NA
"2013-11-28",NA,NA
"2013-11-29",NA,NA
"2013-12-02",NA,NA
"2013-12-03",NA,NA
"2013-12-04",NA,NA
"2013-12-05",NA,NA
"2013-12-06",NA,NA
"2013-12-09",NA,NA
"2013-12-10",NA,NA
"2013-12-11",NA,NA
"2013-12-12",NA,NA
"2013-12-13",NA,NA
"2013-12-16",NA,NA
"2013-12-17",NA,NA
"2013-12-18",NA,NA
"2013-12-19",NA,NA
"2013-12-20",NA,NA
"2013-12-23",NA,NA
"2013-12-24",NA,NA
"2013-12-25",NA,NA
"2013-12-26",NA,NA
"2013-12-27",NA,NA
"2013-12-30",NA,NA
"2013-12-31",NA,NA
"2014-01-01",NA,NA
"2014-01-02",NA,NA
"2014-01-03",NA,NA
"2014-01-06",NA,NA
"2014-01-07",NA,NA
"2014-01-08",NA,NA
"2014-01-09",NA,NA
"2014-01-10",NA,NA
"2014-01-13",NA,NA
"2014-01-14",NA,NA
"2014-01-15",NA,NA
"2014-01-16",NA,NA
"2014-01-17",NA,NA
"2014-01-20",NA,NA
"2014-01-21",NA,NA
"2014-01-22",NA,NA
"2014-01-23",NA,NA
"2014-01-24",NA,NA
"2014-01-27",NA,NA
"2014-01-28",NA,NA
"2014-01-29",NA,NA
"2014-01-30",NA,NA
"2014-01-31",NA,NA
"2014-02-03",NA,NA
"2014-02-04",NA,NA
"2014-02-05",NA,NA
"2014-02-06",NA,NA
"2014-02-07",NA,NA
"2014-02-10",NA,NA
"2014-02-11",NA,NA
"2014-02-12",NA,NA
"2014-02-13",NA,NA
"2014-02-14",NA,NA
"2014-02-17",NA,NA
"2014-02-18",NA,NA
"2014-02-19",NA,NA
"2014-02-20",NA,NA
"2014-02-21",NA,NA
"2014-02-24",NA,NA
"2014-02-25",NA,NA
"2014-02-26",NA,NA
"2014-02-27",NA,NA
"2014-02-28",NA,NA
"2014-03-03",NA,NA
"2014-03-04",NA,NA
"2014-03-05",NA,NA
"2014-03-06",NA,NA
"2014-03-07",NA,NA
"2014-03-10",NA,NA
"2014-03-11",NA,NA
"2014-03-12",NA,NA
"2014-03-13",NA,NA
"2014-03-14",NA,NA
"2014-03-17",NA,NA
"2014-03-18",NA,NA
"2014-03-19",NA,NA
"2014-03-20",NA,NA
"2014-03-21",NA,NA
"2014-03-24",NA,NA
"2014-03-25",NA,NA
"2014-03-26",NA,NA
"2014-03-27",NA,NA
"2014-03-28",NA,NA
"2014-03-31",NA,NA
"2014-04-01",NA,NA
"2014-04-02",NA,NA
"2014-04-03",NA,NA
"2014-04-04",NA,NA
"2014-04-07",NA,NA
"2014-04-08",NA,NA
"2014-04-09",NA,NA
"2014-04-10",NA,NA
"2014-04-11",NA,NA
"2014-04-14",NA,NA
"2014-04-15",NA,NA
"2014-04-16",NA,NA
"2014-04-17",NA,NA
"2014-04-18",NA,NA
"2014-04-21",NA,NA
"2014-04-22",NA,NA
"2014-04-23",NA,NA
"2014-04-24",NA,NA
"2014-04-25",NA,NA
"2014-04-28",NA,NA
"2014-04-29",NA,NA
"2014-04-30",NA,NA
"2014-05-01",NA,NA
"2014-05-02",NA,NA
"2014-05-05",NA,NA
"2014-05-06",NA,NA
"2014-05-07",NA,NA
"2014-05-08",NA,NA
"2014-05-09",NA,NA
"2014-05-12",NA,NA
"2014-05-13",NA,NA
"2014-05-14",8.01,NA
"2014-05-15",6.82,NA
"2014-05-16",6,NA
"2014-05-19",6.52,NA
"2014-05-20",5.8,NA
"2014-05-21",6.15,NA
"2014-05-22",6.64,NA
"2014-05-23",7.34,NA
"2014-05-26",8.5,NA
"2014-05-27",9.1,NA
"2014-05-28",9.21,NA
"2014-05-29",8.59,NA
"2014-05-30",9.61,NA
"2014-06-02",10.19,NA
"2014-06-03",10.63,NA
"2014-06-04",11.24,NA
"2014-06-05",11.83,NA
"2014-06-06",13.27,NA
"2014-06-09",14.06,NA
"2014-06-10",14.12,NA
"2014-06-11",13.63,NA
"2014-06-12",14.36,NA
"2014-06-13",14.89,NA
"2014-06-16",14.33,NA
"2014-06-17",14.59,NA
"2014-06-18",14.04,NA
"2014-06-19",14.3,NA
"2014-06-20",14.52,NA
"2014-06-23",16.11,NA
"2014-06-24",16.14,NA
"2014-06-25",16.91,NA
"2014-06-26",16.33,NA
"2014-06-27",15.46,NA
"2014-06-30",14.59,NA
"2014-07-01",14.98,NA
"2014-07-02",14.35,NA
"2014-07-03",14.77,NA
"2014-07-04",15.18,NA
"2014-07-07",14.21,NA
"2014-07-08",12.7,NA
"2014-07-09",12.28,NA
"2014-07-10",11,NA
"2014-07-11",11.15,NA
"2014-07-14",11.09,NA
"2014-07-15",10.85,NA
"2014-07-16",11.24,NA
"2014-07-17",11.42,NA
"2014-07-18",11.35,NA
"2014-07-21",10.69,NA
"2014-07-22",11.49,NA
"2014-07-23",11.61,NA
"2014-07-24",11.93,NA
"2014-07-25",11.76,NA
"2014-07-28",11.65,NA
"2014-07-29",12.13,NA
"2014-07-30",12.11,NA
"2014-07-31",10.66,NA
"2014-08-01",9.77,NA
"2014-08-04",9.11,NA
"2014-08-05",8.94,NA
"2014-08-06",8.38,NA
"2014-08-07",8.36,NA
"2014-08-08",8.86,NA
"2014-08-11",9.76,NA
"2014-08-12",9.48,NA
"2014-08-13",9.68,NA
"2014-08-14",9.8,NA
"2014-08-15",9.83,NA
"2014-08-18",10.92,NA
"2014-08-19",12.69,NA
"2014-08-20",13.25,NA
"2014-08-21",13.66,NA
"2014-08-22",13.97,NA
"2014-08-25",13.87,NA
"2014-08-26",14.19,NA
"2014-08-27",14.41,NA
"2014-08-28",15.49,NA
"2014-08-29",15.81,NA
"2014-09-01",15.17,NA
"2014-09-02",15.81,NA
"2014-09-03",15.62,NA
"2014-09-04",15.84,NA
"2014-09-05",15.6,NA
"2014-09-08",15.35,NA
"2014-09-09",14.75,NA
"2014-09-10",14.26,NA
"2014-09-11",13.63,NA
"2014-09-12",13.2,NA
"2014-09-15",13.01,NA
"2014-09-16",12.77,NA
"2014-09-17",12.38,NA
"2014-09-18",12.81,NA
"2014-09-19",12.6,NA
"2014-09-22",12.03,NA
"2014-09-23",11.62,NA
"2014-09-24",12.45,NA
"2014-09-25",11.66,NA
"2014-09-26",12.06,NA
"2014-09-29",11.61,NA
"2014-09-30",12.04,NA
"2014-10-01",11.64,NA
"2014-10-02",10.37,NA
"2014-10-03",12.06,NA
"2014-10-06",12.46,NA
"2014-10-07",11.07,NA
"2014-10-08",11.25,NA
"2014-10-09",11.3,NA
"2014-10-10",10.3,NA
"2014-10-13",8.56,NA
"2014-10-14",8.2,NA
"2014-10-15",7.02,NA
"2014-10-16",6.56,NA
"2014-10-17",7.69,NA
"2014-10-20",7.69,NA
"2014-10-21",8.58,NA
"2014-10-22",8.58,NA
"2014-10-23",8.9,NA
"2014-10-24",9.32,NA
"2014-10-27",9.07,NA
"2014-10-28",9.55,NA
"2014-10-29",9.77,NA
"2014-10-30",10.14,NA
"2014-10-31",11.39,NA
"2014-11-03",10.81,NA
"2014-11-04",10.45,NA
"2014-11-05",10.45,NA
"2014-11-06",10.96,NA
"2014-11-07",10.77,NA
"2014-11-10",11.13,NA
"2014-11-11",10.79,NA
"2014-11-12",10.58,NA
"2014-11-13",10.92,NA
"2014-11-14",10.66,NA
"2014-11-17",10.1,NA
"2014-11-18",10.15,NA
"2014-11-19",10.04,NA
"2014-11-20",10.6,NA
"2014-11-21",11.8,NA
"2014-11-24",11.77,NA
"2014-11-25",11.83,NA
"2014-11-26",11.59,NA
"2014-11-27",11.89,NA
"2014-11-28",12.13,NA
"2014-12-01",11.45,NA
"2014-12-02",11.87,NA
"2014-12-03",12.45,NA
"2014-12-04",12.8,NA
"2014-12-05",13.92,NA
"2014-12-08",13.88,NA
"2014-12-09",12.76,NA
"2014-12-10",11.96,NA
"2014-12-11",12.41,NA
"2014-12-12",11.69,NA
"2014-12-15",11.31,NA
"2014-12-16",11.06,NA
"2014-12-17",11.61,NA
"2014-12-18",13.94,NA
"2014-12-19",13.61,NA
"2014-12-22",13.43,NA
"2014-12-23",13.63,NA
"2014-12-24",13.14,NA
"2014-12-25",13.06,NA
"2014-12-26",13.11,NA
"2014-12-29",13.34,NA
"2014-12-30",12.97,NA
"2014-12-31",13.04,NA
"2015-01-01",12.72,NA
"2015-01-02",12.74,NA
"2015-01-05",12.35,NA
"2015-01-06",11.3,NA
"2015-01-07",12.72,NA
"2015-01-08",13.82,NA
"2015-01-09",13.36,NA
"2015-01-12",13.43,NA
"2015-01-13",13.97,NA
"2015-01-14",13.64,NA
"2015-01-15",14.36,NA
"2015-01-16",14.54,NA
"2015-01-19",14.51,NA
"2015-01-20",14.42,NA
"2015-01-21",14.56,NA
"2015-01-22",16.27,NA
"2015-01-23",17.51,NA
"2015-01-26",18.6,NA
"2015-01-27",19.76,NA
"2015-01-28",20.34,NA
"2015-01-29",19.94,NA
"2015-01-30",20.05,NA
"2015-02-02",19.5,NA
"2015-02-03",19.76,NA
"2015-02-04",21.94,NA
"2015-02-05",22.5,NA
"2015-02-06",22.67,NA
"2015-02-09",21.34,NA
"2015-02-10",21.16,NA
"2015-02-11",20.98,NA
"2015-02-12",20.39,NA
"2015-02-13",20.12,NA
"2015-02-16",20.32,NA
"2015-02-17",20,NA
"2015-02-18",20.35,NA
"2015-02-19",20.75,NA
"2015-02-20",21.23,NA
"2015-02-23",21.27,NA
"2015-02-24",21.3,NA
"2015-02-25",20.75,NA
"2015-02-26",21.74,NA
"2015-02-27",21.56,NA
"2015-03-02",21.75,NA
"2015-03-03",21.52,NA
"2015-03-04",22.98,NA
"2015-03-05",22.33,NA
"2015-03-06",22.42,NA
"2015-03-09",22.94,NA
"2015-03-10",22.96,NA
"2015-03-11",24.38,NA
"2015-03-12",25.16,NA
"2015-03-13",26.46,NA
"2015-03-16",27.68,NA
"2015-03-17",27.59,NA
"2015-03-18",27.45,NA
"2015-03-19",26.73,NA
"2015-03-20",26.81,NA
"2015-03-23",25.6,NA
"2015-03-24",25.71,NA
"2015-03-25",24.78,NA
"2015-03-26",24.44,NA
"2015-03-27",24.72,NA
"2015-03-30",25.83,NA
"2015-03-31",25.43,NA
"2015-04-01",24.67,NA
"2015-04-02",24.08,NA
"2015-04-03",23.29,NA
"2015-04-06",23.41,NA
"2015-04-07",24.39,NA
"2015-04-08",26.3,NA
"2015-04-09",27.65,NA
"2015-04-10",27.97,NA
"2015-04-13",28.98,NA
"2015-04-14",29.57,NA
"2015-04-15",29.71,NA
"2015-04-16",28.65,NA
"2015-04-17",26.47,NA
"2015-04-20",26.84,NA
"2015-04-21",27,NA
"2015-04-22",27.03,NA
"2015-04-23",25.77,NA
"2015-04-24",26.07,NA
"2015-04-27",25.79,NA
"2015-04-28",25.65,NA
"2015-04-29",24.03,NA
"2015-04-30",22.46,NA
"2015-05-01",22.34,NA
"2015-05-04",23.13,NA
"2015-05-05",21.8,NA
"2015-05-06",20.49,NA
"2015-05-07",21.56,NA
"2015-05-08",23.13,NA
"2015-05-11",22.67,NA
"2015-05-12",21.26,NA
"2015-05-13",20.08,NA
"2015-05-14",20.05,NA
"2015-05-15",20.69,NA
"2015-05-18",22.11,NA
"2015-05-19",23.38,NA
"2015-05-20",23.29,NA
"2015-05-21",23.57,NA
"2015-05-22",23.63,NA
"2015-05-25",23.2,NA
"2015-05-26",22.7,NA
"2015-05-27",23.23,NA
"2015-05-28",22.49,NA
"2015-05-29",21.49,NA
"2015-06-01",21.46,NA
"2015-06-02",19.99,NA
"2015-06-03",19.24,NA
"2015-06-04",18.62,NA
"2015-06-05",18.95,NA
"2015-06-08",17.47,NA
"2015-06-09",16.48,NA
"2015-06-10",17.4,NA
"2015-06-11",17.36,NA
"2015-06-12",17.31,NA
"2015-06-15",16.64,NA
"2015-06-16",17.09,NA
"2015-06-17",17.18,NA
"2015-06-18",17.31,NA
"2015-06-19",17.56,NA
"2015-06-22",18.06,NA
"2015-06-23",18.27,NA
"2015-06-24",18.62,NA
"2015-06-25",18.84,NA
"2015-06-26",19.42,NA
"2015-06-29",17.48,NA
"2015-06-30",17.16,NA
"2015-07-01",18.33,NA
"2015-07-02",17.49,NA
"2015-07-03",17.33,NA
"2015-07-06",16.52,NA
"2015-07-07",16.42,NA
"2015-07-08",15.86,NA
"2015-07-09",16.84,NA
"2015-07-10",17.61,NA
"2015-07-13",19.76,NA
"2015-07-14",20.18,NA
"2015-07-15",20.13,NA
"2015-07-16",21.15,NA
"2015-07-17",20.74,NA
"2015-07-20",21.55,NA
"2015-07-21",20.48,NA
"2015-07-22",20.56,NA
"2015-07-23",19.09,NA
"2015-07-24",18.25,NA
"2015-07-27",16.67,NA
"2015-07-28",17.83,NA
"2015-07-29",18.85,NA
"2015-07-30",19.04,NA
"2015-07-31",18.91,NA
"2015-08-03",20.7,NA
"2015-08-04",21.7,NA
"2015-08-05",21.99,NA
"2015-08-06",20.9,NA
"2015-08-07",20.97,NA
"2015-08-10",21.82,NA
"2015-08-11",20.38,NA
"2015-08-12",17.8,NA
"2015-08-13",18.38,NA
"2015-08-14",18.24,NA
"2015-08-17",18.4,NA
"2015-08-18",18.54,NA
"2015-08-19",16.59,NA
"2015-08-20",13.9,NA
"2015-08-21",10.94,NA
"2015-08-24",7,NA
"2015-08-25",7.96,NA
"2015-08-26",8.45,NA
"2015-08-27",10.12,NA
"2015-08-28",10.41,NA
"2015-08-31",10.22,NA
"2015-09-01",8.1,NA
"2015-09-02",8.53,NA
"2015-09-03",9.81,NA
"2015-09-04",8.56,NA
"2015-09-07",7.81,NA
"2015-09-08",8.5,NA
"2015-09-09",8.89,NA
"2015-09-10",8.52,NA
"2015-09-11",8.44,NA
"2015-09-14",8.06,NA
"2015-09-15",8.89,NA
"2015-09-16",9.87,NA
"2015-09-17",9.81,NA
"2015-09-18",8.92,NA
"2015-09-21",9.12,NA
"2015-09-22",8.24,NA
"2015-09-23",8.49,NA
"2015-09-24",8.54,NA
"2015-09-25",8.56,NA
"2015-09-28",7.54,NA
"2015-09-29",6.79,NA
"2015-09-30",8.55,NA
"2015-10-01",8.31,NA
"2015-10-02",9.28,NA
"2015-10-05",12.01,NA
"2015-10-06",10.83,NA
"2015-10-07",11.16,NA
"2015-10-08",12.47,NA
"2015-10-09",12.54,NA
"2015-10-12",13.24,NA
"2015-10-13",13.73,NA
"2015-10-14",13.91,NA
"2015-10-15",14.8,NA
"2015-10-16",16.25,NA
"2015-10-19",16.85,NA
"2015-10-20",15.43,NA
"2015-10-21",15,NA
"2015-10-22",15.19,NA
"2015-10-23",16.5,NA
"2015-10-26",15.93,NA
"2015-10-27",15.43,NA
"2015-10-28",16.43,NA
"2015-10-29",16.23,NA
"2015-10-30",15.34,NA
"2015-11-02",15.18,NA
"2015-11-03",14.6,NA
"2015-11-04",14.82,NA
"2015-11-05",15.36,NA
"2015-11-06",15.22,NA
"2015-11-09",14.05,NA
"2015-11-10",14.67,NA
"2015-11-11",14.4,NA
"2015-11-12",13.27,NA
"2015-11-13",12.78,NA
"2015-11-16",13.18,NA
"2015-11-17",14.23,NA
"2015-11-18",14.65,NA
"2015-11-19",14.61,NA
"2015-11-20",15.3,NA
"2015-11-23",15.11,NA
"2015-11-24",13.51,NA
"2015-11-25",14.22,NA
"2015-11-26",14.25,NA
"2015-11-27",14.22,NA
"2015-11-30",13.88,NA
"2015-12-01",13.74,NA
"2015-12-02",14.53,NA
"2015-12-03",11.33,NA
"2015-12-04",10.72,NA
"2015-12-07",11.43,NA
"2015-12-08",9.61,NA
"2015-12-09",9.19,NA
"2015-12-10",10.01,NA
"2015-12-11",9.41,NA
"2015-12-14",8.52,NA
"2015-12-15",11.08,NA
"2015-12-16",12.96,NA
"2015-12-17",13.44,NA
"2015-12-18",11.54,NA
"2015-12-21",9.09,NA
"2015-12-22",8.74,NA
"2015-12-23",9.12,NA
"2015-12-24",8.5,NA
"2015-12-25",8.5,NA
"2015-12-28",8.24,NA
"2015-12-29",9.14,NA
"2015-12-30",8.64,NA
"2015-12-31",8.38,NA
"2016-01-01",8.18,NA
"2016-01-04",6.99,NA
"2016-01-05",7.49,NA
"2016-01-06",7.18,NA
"2016-01-07",5.96,NA
"2016-01-08",4.28,NA
"2016-01-11",2.64,NA
"2016-01-12",3.68,NA
"2016-01-13",2.9,NA
"2016-01-14",1.76,NA
"2016-01-15",0.99,NA
"2016-01-18",0.26,NA
"2016-01-19",-0.32,NA
"2016-01-20",-1.44,NA
"2016-01-21",-0.77,NA
"2016-01-22",0.53,NA
"2016-01-25",-1.54,NA
"2016-01-26",-2.21,NA
"2016-01-27",-2.5,NA
"2016-01-28",-2.41,NA
"2016-01-29",-0.39,NA
"2016-02-01",-0.49,NA
"2016-02-02",-1.29,NA
"2016-02-03",-2.1,NA
"2016-02-04",-3.03,NA
"2016-02-05",-4.18,NA
"2016-02-08",-5.81,NA
"2016-02-09",-6.98,NA
"2016-02-10",-6.33,NA
"2016-02-11",-7.93,NA
"2016-02-12",-6.92,NA
"2016-02-15",-6.38,NA
"2016-02-16",-5.73,NA
"2016-02-17",-4.74,NA
"2016-02-18",-4.37,NA
"2016-02-19",-4.69,NA
"2016-02-22",-3.95,NA
"2016-02-23",-4.64,NA
"2016-02-24",-5.13,NA
"2016-02-25",-4.79,NA
"2016-02-26",-4.15,NA
"2016-02-29",-4.66,NA
"2016-03-01",-3.63,NA
"2016-03-02",-3.52,NA
"2016-03-03",-3.34,NA
"2016-03-04",-3.51,NA
"2016-03-07",-4.03,NA
"2016-03-08",-4.81,NA
"2016-03-09",-4.88,NA
"2016-03-10",-5.38,NA
"2016-03-11",-5.49,NA
"2016-03-14",-5.4,NA
"2016-03-15",-6.12,NA
"2016-03-16",-6.58,NA
"2016-03-17",-6.35,NA
"2016-03-18",-6.12,NA
"2016-03-21",-6.09,NA
"2016-03-22",-6.02,NA
"2016-03-23",-5.4,NA
"2016-03-24",-5.62,NA
"2016-03-25",-4.53,NA
"2016-03-28",-4.51,NA
"2016-03-29",-4.5,NA
"2016-03-30",-5.11,NA
"2016-03-31",-5.56,NA
"2016-04-01",-5.45,NA
"2016-04-04",-5.24,NA
"2016-04-05",-5.64,NA
"2016-04-06",-5.68,NA
"2016-04-07",-6.43,NA
"2016-04-08",-6.82,NA
"2016-04-11",-7.79,NA
"2016-04-12",-8.01,NA
"2016-04-13",-6.7,NA
"2016-04-14",-6.15,NA
"2016-04-15",-6.59,NA
"2016-04-18",-5.6,NA
"2016-04-19",-4.33,NA
"2016-04-20",-4.63,NA
"2016-04-21",-4.99,NA
"2016-04-22",-4.99,NA
"2016-04-25",-4.86,NA
"2016-04-26",-4.99,NA
"2016-04-27",-4.7,NA
"2016-04-28",-4.04,NA
"2016-04-29",-3.53,NA
"2016-05-02",-2.78,NA
"2016-05-03",-3.34,NA
"2016-05-04",-4.24,NA
"2016-05-05",-3.31,NA
"2016-05-06",-1.87,NA
"2016-05-09",-2.02,NA
"2016-05-10",-2.79,NA
"2016-05-11",-3.39,NA
"2016-05-12",-2.42,8.26
"2016-05-13",-1.95,8.1
"2016-05-16",-2.18,7.79
"2016-05-17",-2.65,7.87
"2016-05-18",-3.19,7.72
"2016-05-19",-4.56,7.58
"2016-05-20",-4.2,7.79
"2016-05-23",-4.08,7.96
"2016-05-24",-3.58,8.64
"2016-05-25",-3.36,8.81
"2016-05-26",-3.24,8.82
"2016-05-27",-3.3,8.77
"2016-05-30",-3.06,9.07
"2016-05-31",-2.54,9.14
"2016-06-01",-2.62,9.33
"2016-06-02",-1.38,9.55
"2016-06-03",-1.49,9.38
"2016-06-06",-0.73,9.78
"2016-06-07",-0.8,10.12
"2016-06-08",0.1,9.94
"2016-06-09",0.77,9.92
"2016-06-10",-0.78,9.98
"2016-06-13",-2.2,9.87
"2016-06-14",-2.27,9.61
"2016-06-15",-1.42,9.66
"2016-06-16",-1.74,9.46
"2016-06-17",-2.01,9.31
"2016-06-20",-1.24,9.74
"2016-06-21",-1.07,10.43
"2016-06-22",-1.96,10.46
"2016-06-23",-2.24,10.8
"2016-06-24",-3.49,10.18
"2016-06-27",-4.74,9.39
"2016-06-28",-4.18,9.39
"2016-06-29",-1.63,9.76
"2016-06-30",-0.43,9.86
"2016-07-01",-1.04,9.95
"2016-07-04",-0.66,10.07
"2016-07-05",-1.1,9.76
"2016-07-06",-1.02,9.48
"2016-07-07",-0.89,9.4
"2016-07-08",1.01,9.48
"2016-07-11",1.3,9.72
"2016-07-12",1.23,9.77
"2016-07-13",-0.26,9.71
"2016-07-14",-0.42,9.7
"2016-07-15",-0.75,9.92
"2016-07-18",-1.31,9.88
"2016-07-19",-1.5,9.73
"2016-07-20",-1.31,9.92
"2016-07-21",-0.82,9.87
"2016-07-22",-0.45,10.06
"2016-07-25",0.11,10.11
"2016-07-26",0.83,10.16
"2016-07-27",2,10.18
"2016-07-28",1.15,10.17
"2016-07-29",0.55,10.13
"2016-08-01",0.04,10
"2016-08-02",-0.45,9.46
"2016-08-03",-0.84,9.39
"2016-08-04",-0.73,9.44
"2016-08-05",-0.27,9.87
"2016-08-08",0.66,10.12
"2016-08-09",1.05,10.17
"2016-08-10",0.43,9.97
"2016-08-11",2.2,10.1
"2016-08-12",3.55,10.05
"2016-08-15",3.03,10.07
"2016-08-16",2.36,9.97
"2016-08-17",1.65,10.25
"2016-08-18",1.67,10.4
"2016-08-19",2.53,10.45
"2016-08-22",4.27,10.48
"2016-08-23",7.29,10.46
"2016-08-24",11.14,10.44
"2016-08-25",9.8,10.34
"2016-08-26",9.13,10.84
"2016-08-29",7.28,10.94
"2016-08-30",7.06,10.79
"2016-08-31",7.23,10.87
"2016-09-01",8.99,10.74
"2016-09-02",9.08,10.77
"2016-09-05",7.79,10.7
"2016-09-06",9.18,10.7
"2016-09-07",9.2,10.64
"2016-09-08",7.9,10.39
"2016-09-09",6.29,9.73
"2016-09-12",7,9.68
"2016-09-13",6.65,9.46
"2016-09-14",6.76,9.32
"2016-09-15",6.58,9.29
"2016-09-16",5.83,9.27
"2016-09-19",6.24,9.3
"2016-09-20",7.14,9.34
"2016-09-21",6.91,9.61
"2016-09-22",8.5,9.93
"2016-09-23",8.65,9.8
"2016-09-26",8.53,9.59
"2016-09-27",8.29,9.68
"2016-09-28",10.31,9.86
"2016-09-29",10.51,9.86
"2016-09-30",9.08,9.74
"2016-10-03",9.1,9.97
"2016-10-04",8.94,10.17
"2016-10-05",7.03,10.06
"2016-10-06",7.15,10.16
"2016-10-07",6.43,10.22
"2016-10-10",6.49,10.32
"2016-10-11",6.46,9.95
"2016-10-12",6.51,9.79
"2016-10-13",6.67,9.64
"2016-10-14",7.54,9.67
"2016-10-17",6.26,9.58
"2016-10-18",6.49,9.64
"2016-10-19",6.5,9.56
"2016-10-20",6.87,9.53
"2016-10-21",7.23,9.56
"2016-10-24",5.76,9.71
"2016-10-25",3.95,9.53
"2016-10-26",3.51,9.35
"2016-10-27",3.51,9.17
"2016-10-28",2.59,9.05
"2016-10-31",2.03,8.97
"2016-11-01",2.1,8.69
"2016-11-02",0.32,8.22
"2016-11-03",-0.46,7.99
"2016-11-04",-0.72,7.95
"2016-11-07",0.33,8.36
"2016-11-08",0.18,8.4
"2016-11-09",1.23,8.45
"2016-11-10",1,8.49
"2016-11-11",0.89,8.62
"2016-11-14",2.18,8.68
"2016-11-15",3.21,8.68
"2016-11-16",2.85,8.64
"2016-11-17",2.71,8.89
"2016-11-18",2.5,9.01
"2016-11-21",2.56,9.12
"2016-11-22",2.28,9.13
"2016-11-23",2.44,9.2
"2016-11-24",2.87,9.12
"2016-11-25",1.97,9.12
"2016-11-28",1.73,9.06
"2016-11-29",1.66,9.04
"2016-11-30",1.66,8.94
"2016-12-01",0.93,8.74
"2016-12-02",0.7,8.97
"2016-12-05",3.02,9.02
