"","8Fundos DEF","8Fundos EW","8Fundos AGR"
"2013-05-13",NA,NA,NA
"2013-05-14",NA,NA,NA
"2013-05-15",NA,NA,NA
"2013-05-16",NA,NA,NA
"2013-05-17",NA,NA,NA
"2013-05-20",NA,NA,NA
"2013-05-21",NA,NA,NA
"2013-05-22",NA,NA,NA
"2013-05-23",NA,NA,NA
"2013-05-24",NA,NA,NA
"2013-05-27",NA,NA,NA
"2013-05-28",NA,NA,NA
"2013-05-29",NA,NA,NA
"2013-05-30",NA,NA,NA
"2013-05-31",NA,NA,NA
"2013-06-03",NA,NA,NA
"2013-06-04",NA,NA,NA
"2013-06-05",NA,NA,NA
"2013-06-06",NA,NA,NA
"2013-06-07",NA,NA,NA
"2013-06-10",NA,NA,NA
"2013-06-11",NA,NA,NA
"2013-06-12",NA,NA,NA
"2013-06-13",NA,NA,NA
"2013-06-14",NA,NA,NA
"2013-06-17",NA,NA,NA
"2013-06-18",NA,NA,NA
"2013-06-19",NA,NA,NA
"2013-06-20",NA,NA,NA
"2013-06-21",NA,NA,NA
"2013-06-24",NA,NA,NA
"2013-06-25",NA,NA,NA
"2013-06-26",NA,NA,NA
"2013-06-27",NA,NA,NA
"2013-06-28",NA,NA,NA
"2013-07-01",NA,NA,NA
"2013-07-02",NA,NA,NA
"2013-07-03",NA,NA,NA
"2013-07-04",NA,NA,NA
"2013-07-05",NA,NA,NA
"2013-07-08",NA,NA,NA
"2013-07-09",NA,NA,NA
"2013-07-10",NA,NA,NA
"2013-07-11",NA,NA,NA
"2013-07-12",NA,NA,NA
"2013-07-15",NA,NA,NA
"2013-07-16",NA,NA,NA
"2013-07-17",NA,NA,NA
"2013-07-18",NA,NA,NA
"2013-07-19",NA,NA,NA
"2013-07-22",NA,NA,NA
"2013-07-23",NA,NA,NA
"2013-07-24",NA,NA,NA
"2013-07-25",NA,NA,NA
"2013-07-26",NA,NA,NA
"2013-07-29",NA,NA,NA
"2013-07-30",NA,NA,NA
"2013-07-31",NA,NA,NA
"2013-08-01",NA,NA,NA
"2013-08-02",NA,NA,NA
"2013-08-05",NA,NA,NA
"2013-08-06",NA,NA,NA
"2013-08-07",NA,NA,NA
"2013-08-08",NA,NA,NA
"2013-08-09",NA,NA,NA
"2013-08-12",NA,NA,NA
"2013-08-13",NA,NA,NA
"2013-08-14",NA,NA,NA
"2013-08-15",NA,NA,NA
"2013-08-16",NA,NA,NA
"2013-08-19",NA,NA,NA
"2013-08-20",NA,NA,NA
"2013-08-21",NA,NA,NA
"2013-08-22",NA,NA,NA
"2013-08-23",NA,NA,NA
"2013-08-26",NA,NA,NA
"2013-08-27",NA,NA,NA
"2013-08-28",NA,NA,NA
"2013-08-29",NA,NA,NA
"2013-08-30",NA,NA,NA
"2013-09-02",NA,NA,NA
"2013-09-03",NA,NA,NA
"2013-09-04",NA,NA,NA
"2013-09-05",NA,NA,NA
"2013-09-06",NA,NA,NA
"2013-09-09",NA,NA,NA
"2013-09-10",NA,NA,NA
"2013-09-11",NA,NA,NA
"2013-09-12",NA,NA,NA
"2013-09-13",NA,NA,NA
"2013-09-16",NA,NA,NA
"2013-09-17",NA,NA,NA
"2013-09-18",NA,NA,NA
"2013-09-19",NA,NA,NA
"2013-09-20",NA,NA,NA
"2013-09-23",NA,NA,NA
"2013-09-24",NA,NA,NA
"2013-09-25",NA,NA,NA
"2013-09-26",NA,NA,NA
"2013-09-27",NA,NA,NA
"2013-09-30",NA,NA,NA
"2013-10-01",NA,NA,NA
"2013-10-02",NA,NA,NA
"2013-10-03",NA,NA,NA
"2013-10-04",NA,NA,NA
"2013-10-07",NA,NA,NA
"2013-10-08",NA,NA,NA
"2013-10-09",NA,NA,NA
"2013-10-10",NA,NA,NA
"2013-10-11",NA,NA,NA
"2013-10-14",NA,NA,NA
"2013-10-15",NA,NA,NA
"2013-10-16",NA,NA,NA
"2013-10-17",NA,NA,NA
"2013-10-18",NA,NA,NA
"2013-10-21",NA,NA,NA
"2013-10-22",NA,NA,NA
"2013-10-23",NA,NA,NA
"2013-10-24",NA,NA,NA
"2013-10-25",NA,NA,NA
"2013-10-28",NA,NA,NA
"2013-10-29",NA,NA,NA
"2013-10-30",NA,NA,NA
"2013-10-31",NA,NA,NA
"2013-11-01",NA,NA,NA
"2013-11-04",NA,NA,NA
"2013-11-05",NA,NA,NA
"2013-11-06",NA,NA,NA
"2013-11-07",NA,NA,NA
"2013-11-08",NA,NA,NA
"2013-11-11",NA,NA,NA
"2013-11-12",NA,NA,NA
"2013-11-13",NA,NA,NA
"2013-11-14",NA,NA,NA
"2013-11-15",NA,NA,NA
"2013-11-18",NA,NA,NA
"2013-11-19",NA,NA,NA
"2013-11-20",NA,NA,NA
"2013-11-21",NA,NA,NA
"2013-11-22",NA,NA,NA
"2013-11-25",NA,NA,NA
"2013-11-26",NA,NA,NA
"2013-11-27",NA,NA,NA
"2013-11-28",NA,NA,NA
"2013-11-29",NA,NA,NA
"2013-12-02",NA,NA,NA
"2013-12-03",NA,NA,NA
"2013-12-04",NA,NA,NA
"2013-12-05",NA,NA,NA
"2013-12-06",NA,NA,NA
"2013-12-09",NA,NA,NA
"2013-12-10",NA,NA,NA
"2013-12-11",NA,NA,NA
"2013-12-12",NA,NA,NA
"2013-12-13",NA,NA,NA
"2013-12-16",NA,NA,NA
"2013-12-17",NA,NA,NA
"2013-12-18",NA,NA,NA
"2013-12-19",NA,NA,NA
"2013-12-20",NA,NA,NA
"2013-12-23",NA,NA,NA
"2013-12-24",NA,NA,NA
"2013-12-25",NA,NA,NA
"2013-12-26",NA,NA,NA
"2013-12-27",NA,NA,NA
"2013-12-30",NA,NA,NA
"2013-12-31",NA,NA,NA
"2014-01-01",NA,NA,NA
"2014-01-02",NA,NA,NA
"2014-01-03",NA,NA,NA
"2014-01-06",NA,NA,NA
"2014-01-07",NA,NA,NA
"2014-01-08",NA,NA,NA
"2014-01-09",NA,NA,NA
"2014-01-10",NA,NA,NA
"2014-01-13",NA,NA,NA
"2014-01-14",NA,NA,NA
"2014-01-15",NA,NA,NA
"2014-01-16",NA,NA,NA
"2014-01-17",NA,NA,NA
"2014-01-20",NA,NA,NA
"2014-01-21",NA,NA,NA
"2014-01-22",NA,NA,NA
