Entity,Code,Date,total_vaccinations_per_hundred
United Arab Emirates,ARE,2021-01-31,33.71
United Arab Emirates,ARE,2021-02-01,34.79
United Kingdom,GBR,2020-12-20,0.99
United Kingdom,GBR,2020-12-27,1.47
United Kingdom,GBR,2021-01-03,2.05
United Kingdom,GBR,2021-01-10,3.94
United Kingdom,GBR,2021-01-11,4.19
United Kingdom,GBR,2021-01-12,4.52
United Kingdom,GBR,2021-01-13,4.94
United Kingdom,GBR,2021-01-14,5.42
United Kingdom,GBR,2021-01-15,5.9
United Kingdom,GBR,2021-01-16,6.31
United Kingdom,GBR,2021-01-17,6.65
United Kingdom,GBR,2021-01-18,6.96
United Kingdom,GBR,2021-01-19,7.47
United Kingdom,GBR,2021-01-20,8.01
United Kingdom,GBR,2021-01-21,8.62
United Kingdom,GBR,2021-01-22,9.32
United Kingdom,GBR,2021-01-23,10.05
United Kingdom,GBR,2021-01-24,10.38
United Kingdom,GBR,2021-01-25,10.79
United Kingdom,GBR,2021-01-26,11.25
United Kingdom,GBR,2021-01-27,11.72
United Kingdom,GBR,2021-01-28,12.33
United Kingdom,GBR,2021-01-29,13.05
United Kingdom,GBR,2021-01-30,13.95
United Kingdom,GBR,2021-01-31,14.42
United States,USA,2020-12-20,0.17
United States,USA,2020-12-21,0.19
United States,USA,2020-12-23,0.3
United States,USA,2020-12-26,0.59
United States,USA,2020-12-28,0.64
United States,USA,2020-12-30,0.84
United States,USA,2021-01-02,1.28
United States,USA,2021-01-04,1.38
United States,USA,2021-01-05,1.46
United States,USA,2021-01-06,1.6
United States,USA,2021-01-07,1.79
United States,USA,2021-01-08,2.02
United States,USA,2021-01-11,2.72
United States,USA,2021-01-12,2.82
United States,USA,2021-01-13,3.11
United States,USA,2021-01-14,3.37
United States,USA,2021-01-15,3.71
United States,USA,2021-01-19,4.75
United States,USA,2021-01-20,4.99
United States,USA,2021-01-21,5.3
United States,USA,2021-01-22,5.77
United States,USA,2021-01-23,6.2
United States,USA,2021-01-24,6.6
United States,USA,2021-01-25,6.87
United States,USA,2021-01-26,7.11
United States,USA,2021-01-27,7.45
United States,USA,2021-01-28,7.91
United States,USA,2021-01-29,8.42
United States,USA,2021-01-30,8.94
United States,USA,2021-01-31,9.4
Wales,,2020-12-13,0.26
Wales,,2020-12-20,0.75
Wales,,2020-12-27,1.14
Wales,,2021-01-03,1.58
Wales,,2021-01-10,2.73
Wales,,2021-01-11,2.9
Wales,,2021-01-12,3.22
Wales,,2021-01-13,3.59
Wales,,2021-01-14,4.01
Wales,,2021-01-17,4.82
Wales,,2021-01-18,5.14
Wales,,2021-01-19,5.59
Wales,,2021-01-20,6.05
Wales,,2021-01-21,6.75
Wales,,2021-01-22,7.64
Wales,,2021-01-23,8.41
Wales,,2021-01-24,8.61
Wales,,2021-01-25,9.2
Wales,,2021-01-26,9.93
Wales,,2021-01-27,10.68
Wales,,2021-01-28,11.51
Wales,,2021-01-29,12.02
Wales,,2021-01-30,12.82
Wales,,2021-01-31,13.23
World,OWID_WRL,2020-12-15,0.02
World,OWID_WRL,2020-12-19,0.02
World,OWID_WRL,2020-12-20,0.04
World,OWID_WRL,2020-12-21,0.04
World,OWID_WRL,2020-12-22,0.04
World,OWID_WRL,2020-12-23,0.04
World,OWID_WRL,2020-12-24,0.04
World,OWID_WRL,2020-12-25,0.05
World,OWID_WRL,2020-12-26,0.06
World,OWID_WRL,2020-12-27,0.06
World,OWID_WRL,2020-12-28,0.07
World,OWID_WRL,2020-12-29,0.07
World,OWID_WRL,2020-12-30,0.08
World,OWID_WRL,2020-12-31,0.13
World,OWID_WRL,2021-01-01,0.13
World,OWID_WRL,2021-01-02,0.16
World,OWID_WRL,2021-01-03,0.17
World,OWID_WRL,2021-01-04,0.18
World,OWID_WRL,2021-01-05,0.2
World,OWID_WRL,2021-01-06,0.21
World,OWID_WRL,2021-01-07,0.22
World,OWID_WRL,2021-01-08,0.24
World,OWID_WRL,2021-01-09,0.3
World,OWID_WRL,2021-01-10,0.32
World,OWID_WRL,2021-01-11,0.36
World,OWID_WRL,2021-01-12,0.38
World,OWID_WRL,2021-01-13,0.43
World,OWID_WRL,2021-01-14,0.46
World,OWID_WRL,2021-01-15,0.49
World,OWID_WRL,2021-01-16,0.51
World,OWID_WRL,2021-01-17,0.52
World,OWID_WRL,2021-01-18,0.54
World,OWID_WRL,2021-01-19,0.6
World,OWID_WRL,2021-01-20,0.69
World,OWID_WRL,2021-01-21,0.73
World,OWID_WRL,2021-01-22,0.78
World,OWID_WRL,2021-01-23,0.82
World,OWID_WRL,2021-01-24,0.85
World,OWID_WRL,2021-01-25,0.88
World,OWID_WRL,2021-01-26,0.91
World,OWID_WRL,2021-01-27,1.05
World,OWID_WRL,2021-01-28,1.1
World,OWID_WRL,2021-01-29,1.16
World,OWID_WRL,2021-01-30,1.22
World,OWID_WRL,2021-01-31,1.27
