"","1 Ano","3 Anos","5 Anos","10 Anos"
"93",NA,NA,NA,NA
"94",NA,NA,NA,NA
"95",NA,NA,NA,NA
"96",NA,NA,NA,NA
"97",NA,NA,NA,NA
"98",NA,NA,NA,NA
"99",NA,NA,NA,NA
"100",NA,NA,NA,NA
"101",NA,NA,NA,NA
"102",NA,NA,NA,NA
"103",NA,NA,NA,NA
"104",NA,NA,NA,NA
"105",NA,NA,NA,NA
"106",NA,NA,NA,NA
"107",NA,NA,NA,NA
"108",NA,NA,NA,NA
"109",NA,NA,NA,NA
"110",NA,NA,NA,NA
"111",NA,NA,NA,NA
"112",NA,NA,NA,NA
"113",NA,NA,NA,NA
"114",NA,NA,NA,NA
"115",NA,NA,NA,NA
"116",NA,NA,NA,NA
"117",NA,NA,NA,NA
"118",NA,NA,NA,NA
"119",NA,NA,NA,NA
"120",NA,NA,NA,NA
"121",NA,NA,NA,NA
"122",NA,NA,NA,NA
"123",NA,NA,NA,NA
"124",NA,NA,NA,NA
"125",NA,NA,NA,NA
"126",NA,NA,NA,NA
"127",NA,NA,NA,NA
"128",NA,NA,NA,NA
"129",NA,NA,NA,NA
"130",NA,NA,NA,NA
"131",NA,NA,NA,NA
"132",NA,NA,NA,NA
"133",NA,NA,NA,NA
"134",NA,NA,NA,NA
"135",NA,NA,NA,NA
"136",NA,NA,NA,NA
"137",NA,NA,NA,NA
"138",NA,NA,NA,NA
"139",NA,NA,NA,NA
"140",NA,NA,NA,NA
"141",NA,NA,NA,NA
"142",NA,NA,NA,NA
"143",NA,NA,NA,NA
"144",NA,NA,NA,NA
"145",NA,NA,NA,NA
"146",NA,NA,NA,NA
"147",NA,NA,NA,NA
"148",NA,NA,NA,NA
"149",NA,NA,NA,NA
"150",NA,NA,NA,NA
"151",NA,NA,NA,NA
"152",NA,NA,NA,NA
"153",NA,NA,NA,NA
"154",NA,NA,NA,NA
"155",NA,NA,NA,NA
"156",NA,NA,NA,NA
"157",NA,NA,NA,NA
"158",NA,NA,NA,NA
"159",NA,NA,NA,NA
"160",NA,NA,NA,NA
"161",NA,NA,NA,NA
"162",NA,NA,NA,NA
"163",NA,NA,NA,NA
"164",NA,NA,NA,NA
"165",NA,NA,NA,NA
"166",NA,NA,NA,NA
"167",NA,NA,NA,NA
"168",NA,NA,NA,NA
"169",NA,NA,NA,NA
"170",NA,NA,NA,NA
"171",NA,NA,NA,NA
"172",NA,NA,NA,NA
"173",NA,NA,NA,NA
"174",NA,NA,NA,NA
"175",NA,NA,NA,NA
"176",NA,NA,NA,NA
"177",NA,NA,NA,NA
"178",NA,NA,NA,NA
"179",NA,NA,NA,NA
"180",NA,NA,NA,NA
"181",NA,NA,NA,NA
"182",NA,NA,NA,NA
"183",NA,NA,NA,NA
"184",NA,NA,NA,NA
"185",NA,NA,NA,NA
"186",NA,NA,NA,NA
"187",NA,NA,NA,NA
"188",NA,NA,NA,NA
"189",NA,NA,NA,NA
"190",NA,NA,NA,NA
"191",NA,NA,NA,NA
"192",NA,NA,NA,NA
"193",NA,NA,NA,NA
"194",NA,NA,NA,NA
"195",NA,NA,NA,NA
"196",NA,NA,NA,NA
"197",NA,NA,NA,NA
"198",NA,NA,NA,NA
"199",NA,NA,NA,NA
"200",NA,NA,NA,NA
"201",NA,NA,NA,NA
"202",NA,NA,NA,NA
"203",NA,NA,NA,NA
"204",NA,NA,NA,NA
"205",NA,NA,NA,NA
"206",NA,NA,NA,NA
"207",NA,NA,NA,NA
"208",NA,NA,NA,NA
"209",NA,NA,NA,NA
"210",NA,NA,NA,NA
"211",NA,NA,NA,NA
"212",NA,NA,NA,NA
"213",NA,NA,NA,NA
"214",NA,NA,NA,NA
"215",NA,NA,NA,NA
"216",NA,NA,NA,NA
"217",NA,NA,NA,NA
"218",NA,NA,NA,NA
"219",NA,NA,NA,NA
"220",NA,NA,NA,NA
"221",NA,NA,NA,NA
"222",NA,NA,NA,NA
"223",NA,NA,NA,NA
"224",NA,NA,NA,NA
"225",NA,NA,NA,NA
"226",NA,NA,NA,NA
"227",NA,NA,NA,NA
"228",NA,NA,NA,NA
"229",NA,NA,NA,NA
"230",NA,NA,NA,NA
"231",NA,NA,NA,NA
"232",NA,NA,NA,NA
"233",NA,NA,NA,NA
"234",NA,NA,NA,NA
"235",NA,NA,NA,NA
"236",NA,NA,NA,NA
"237",NA,NA,NA,NA
"238",NA,NA,NA,NA
"239",NA,NA,NA,NA
"240",NA,NA,NA,NA
"241",NA,NA,NA,NA
"242",NA,NA,NA,NA
"243",NA,NA,NA,NA
"244",NA,NA,NA,NA
"245",NA,NA,NA,NA
"246",NA,NA,NA,NA
"247",NA,NA,NA,NA
"248",NA,NA,NA,NA
"249",NA,NA,NA,NA
"250",NA,NA,NA,NA
"251",NA,NA,NA,NA
"252",NA,NA,NA,NA
"253",NA,NA,NA,NA
"254",NA,NA,NA,NA
"255",NA,NA,NA,NA
"256",NA,NA,NA,NA
"257",NA,NA,NA,NA
"258",NA,NA,NA,NA
"259",NA,NA,NA,NA
"260",NA,NA,NA,NA
"261",NA,NA,NA,NA
"262",NA,NA,NA,NA
"263",-10.79,NA,NA,NA
"264",-11.15,NA,NA,NA
"265",-10.8,NA,NA,NA
"266",-10.68,NA,NA,NA
"267",-10.35,NA,NA,NA
"268",-9.87,NA,NA,NA
"269",-9.76,NA,NA,NA
"270",-9.87,NA,NA,NA
"271",-9.93,NA,NA,NA
"272",-9.53,NA,NA,NA
"273",-9.66,NA,NA,NA
"274",-9.52,NA,NA,NA
"275",-9.13,NA,NA,NA
"276",-8.67,NA,NA,NA
"277",-8.97,NA,NA,NA
"278",-8.86,NA,NA,NA
"279",-8.64,NA,NA,NA
"280",-8.86,NA,NA,NA
"281",-8.7,NA,NA,NA
"282",-8.96,NA,NA,NA
"283",-8.85,NA,NA,NA
"284",-9.57,NA,NA,NA
"285",-10.25,NA,NA,NA
"286",-10.05,NA,NA,NA
"287",-10.49,NA,NA,NA
"288",-10.54,NA,NA,NA
"289",-10.79,NA,NA,NA
"290",-10.6,NA,NA,NA
"291",-10.63,NA,NA,NA
"292",-10.72,NA,NA,NA
"293",-10.86,NA,NA,NA
"294",-9.99,NA,NA,NA
"295",-9.5,NA,NA,NA
"296",-8.83,NA,NA,NA
"297",-10.14,NA,NA,NA
"298",-10.67,NA,NA,NA
"299",-10.45,NA,NA,NA
"300",-11.07,NA,NA,NA
"301",-11.33,NA,NA,NA
"302",-11.46,NA,NA,NA
"303",-11.45,NA,NA,NA
"304",-11.17,NA,NA,NA
"305",-11.44,NA,NA,NA
"306",-11.57,NA,NA,NA
"307",-12,NA,NA,NA
"308",-11.79,NA,NA,NA
"309",-12.15,NA,NA,NA
"310",-11.69,NA,NA,NA
"311",-13.04,NA,NA,NA
"312",-13.42,NA,NA,NA
"313",-13.48,NA,NA,NA
"314",-14.23,NA,NA,NA
"315",-15,NA,NA,NA
"316",-14.92,NA,NA,NA
"317",-15.01,NA,NA,NA
"318",-14.81,NA,NA,NA
"319",-14.3,NA,NA,NA
"320",-14.19,NA,NA,NA
"321",-14.99,NA,NA,NA
"322",-15.89,NA,NA,NA
"323",-15.84,NA,NA,NA
"324",-16.17,NA,NA,NA
"325",-15.27,NA,NA,NA
"326",-14.87,NA,NA,NA
"327",-15.29,NA,NA,NA
"328",-15.02,NA,NA,NA
"329",-14.82,NA,NA,NA
"330",-13.76,NA,NA,NA
"331",-13.84,NA,NA,NA
"332",-12.79,NA,NA,NA
"333",-12.7,NA,NA,NA
"334",-11.95,NA,NA,NA
"335",-11.64,NA,NA,NA
"336",-11.3,NA,NA,NA
"337",-11.75,NA,NA,NA
"338",-11.37,NA,NA,NA
"339",-10.1,NA,NA,NA
"340",-9.88,NA,NA,NA
"341",-10.25,NA,NA,NA
"342",-8.16,NA,NA,NA
"343",-7.12,NA,NA,NA
"344",-8.05,NA,NA,NA
"345",-7.83,NA,NA,NA
"346",-7.64,NA,NA,NA
"347",-6.07,NA,NA,NA
"348",-6.27,NA,NA,NA
"349",-7.47,NA,NA,NA
"350",-7.71,NA,NA,NA
"351",-8.79,NA,NA,NA
"352",-8.36,NA,NA,NA
"353",-8.55,NA,NA,NA
"354",-8.35,NA,NA,NA
"355",-7.67,NA,NA,NA
"356",-7.44,NA,NA,NA
"357",-7.66,NA,NA,NA
"358",-8.15,NA,NA,NA
"359",-7.97,NA,NA,NA
"360",-8.46,NA,NA,NA
"361",-8.14,NA,NA,NA
"362",-8.32,NA,NA,NA
"363",-6.81,NA,NA,NA
"364",-6.93,NA,NA,NA
"365",-7.02,NA,NA,NA
"366",-6.95,NA,NA,NA
"367",-7.5,NA,NA,NA
"368",-8.41,NA,NA,NA
"369",-8.65,NA,NA,NA
"370",-10.47,NA,NA,NA
"371",-12,NA,NA,NA
"372",-10,NA,NA,NA
"373",-11.78,NA,NA,NA
"374",-12.37,NA,NA,NA
"375",-12.37,NA,NA,NA
"376",-12.47,NA,NA,NA
"377",-13.3,NA,NA,NA
"378",-13.95,NA,NA,NA
"379",-13.13,NA,NA,NA
"380",-13.44,NA,NA,NA
"381",-14.43,NA,NA,NA
"382",-14.65,NA,NA,NA
"383",-16.05,NA,NA,NA
"384",-17.57,NA,NA,NA
"385",-19.62,NA,NA,NA
"386",-21.31,NA,NA,NA
"387",-23.66,NA,NA,NA
"388",-21.64,NA,NA,NA
"389",-21.18,NA,NA,NA
"390",-22.4,NA,NA,NA
"391",-23.09,NA,NA,NA
"392",-22.58,NA,NA,NA
"393",-21.29,NA,NA,NA
"394",-20.93,NA,NA,NA
"395",-21.86,NA,NA,NA
"396",-22.78,NA,NA,NA
"397",-23.69,NA,NA,NA
"398",-24.34,NA,NA,NA
"399",-24.13,NA,NA,NA
"400",-23.1,NA,NA,NA
"401",-22.17,NA,NA,NA
"402",-21.23,NA,NA,NA
"403",-20.79,NA,NA,NA
"404",-19.76,NA,NA,NA
"405",-20,NA,NA,NA
"406",-20.42,NA,NA,NA
"407",-19.68,NA,NA,NA
"408",-19.19,NA,NA,NA
"409",-19.59,NA,NA,NA
"410",-20.5,NA,NA,NA
"411",-20.41,NA,NA,NA
"412",-21.1,NA,NA,NA
"413",-21.38,NA,NA,NA
"414",-21.23,NA,NA,NA
"415",-21.83,NA,NA,NA
"416",-23.22,NA,NA,NA
"417",-22.69,NA,NA,NA
"418",-21.49,NA,NA,NA
"419",-21.68,NA,NA,NA
"420",-20.88,NA,NA,NA
"421",-20.43,NA,NA,NA
"422",-20.27,NA,NA,NA
"423",-21.99,NA,NA,NA
"424",-22.19,NA,NA,NA
"425",-21.63,NA,NA,NA
"426",-21.38,NA,NA,NA
"427",-22.22,NA,NA,NA
"428",-21.94,NA,NA,NA
"429",-22.01,NA,NA,NA
"430",-21.66,NA,NA,NA
"431",-22.24,NA,NA,NA
"432",-22.66,NA,NA,NA
"433",-22.95,NA,NA,NA
"434",-22.27,NA,NA,NA
"435",-22.1,NA,NA,NA
"436",-21.88,NA,NA,NA
"437",-21.33,NA,NA,NA
"438",-21.78,NA,NA,NA
"439",-22.24,NA,NA,NA
"440",-22.17,NA,NA,NA
"441",-22.17,NA,NA,NA
"442",-22.11,NA,NA,NA
"443",-22.15,NA,NA,NA
"444",-20.99,NA,NA,NA
"445",-20.19,NA,NA,NA
"446",-20.19,NA,NA,NA
"447",-19.07,NA,NA,NA
"448",-18.1,NA,NA,NA
"449",-16.25,NA,NA,NA
"450",-16.99,NA,NA,NA
"451",-16.97,NA,NA,NA
"452",-16.42,NA,NA,NA
"453",-16.34,NA,NA,NA
"454",-15.77,NA,NA,NA
"455",-17.18,NA,NA,NA
"456",-16.2,NA,NA,NA
"457",-16.05,NA,NA,NA
"458",-15.46,NA,NA,NA
"459",-15.99,NA,NA,NA
"460",-15.03,NA,NA,NA
"461",-15.3,NA,NA,NA
"462",-15.1,NA,NA,NA
"463",-15.79,NA,NA,NA
"464",-15.68,NA,NA,NA
"465",-14.36,NA,NA,NA
"466",-15.02,NA,NA,NA
"467",-14.71,NA,NA,NA
"468",-15.78,NA,NA,NA
"469",-16.72,NA,NA,NA
"470",-15.95,NA,NA,NA
"471",-15.25,NA,NA,NA
"472",-14.09,NA,NA,NA
"473",-14.58,NA,NA,NA
"474",-15.55,NA,NA,NA
"475",-14.96,NA,NA,NA
"476",-14.99,NA,NA,NA
"477",-15.38,NA,NA,NA
"478",-15.34,NA,NA,NA
"479",-15.42,NA,NA,NA
"480",-15.93,NA,NA,NA
"481",-16.41,NA,NA,NA
"482",-16.85,NA,NA,NA
"483",-17.59,NA,NA,NA
"484",-17.68,NA,NA,NA
"485",-18.11,NA,NA,NA
"486",-18.97,NA,NA,NA
"487",-18.8,NA,NA,NA
"488",-19.68,NA,NA,NA
"489",-20.06,NA,NA,NA
"490",-19.41,NA,NA,NA
"491",-20.11,NA,NA,NA
"492",-20.35,NA,NA,NA
"493",-20.31,NA,NA,NA
"494",-19.11,NA,NA,NA
"495",-18.53,NA,NA,NA
"496",-18.29,NA,NA,NA
"497",-18.01,NA,NA,NA
"498",-17.51,NA,NA,NA
"499",-16.63,NA,NA,NA
"500",-15.35,NA,NA,NA
"501",-17.46,NA,NA,NA
"502",-17.48,NA,NA,NA
"503",-16.57,NA,NA,NA
"504",-16.64,NA,NA,NA
"505",-16.58,NA,NA,NA
"506",-15.89,NA,NA,NA
"507",-15.56,NA,NA,NA
"508",-16.16,NA,NA,NA
"509",-15.75,NA,NA,NA
"510",-14.94,NA,NA,NA
"511",-14.84,NA,NA,NA
"512",-14.95,NA,NA,NA
"513",-14.96,NA,NA,NA
"514",-15.16,NA,NA,NA
"515",-14.87,NA,NA,NA
"516",-13.36,NA,NA,NA
"517",-12.79,NA,NA,NA
"518",-13.37,NA,NA,NA
"519",-12.84,NA,NA,NA
"520",-12.05,NA,NA,NA
"521",-11.57,NA,NA,NA
"522",-10.91,NA,NA,NA
"523",-11.73,NA,NA,NA
"524",-12.14,NA,NA,NA
"525",-11.67,NA,NA,NA
"526",-11.27,NA,NA,NA
"527",-11.37,NA,NA,NA
"528",-11.33,NA,NA,NA
"529",-11.58,NA,NA,NA
"530",-11.48,NA,NA,NA
"531",-10.94,NA,NA,NA
"532",-11.41,NA,NA,NA
"533",-11.07,NA,NA,NA
"534",-10.88,NA,NA,NA
"535",-10.22,NA,NA,NA
"536",-10.59,NA,NA,NA
"537",-10.44,NA,NA,NA
"538",-11.17,NA,NA,NA
"539",-11.25,NA,NA,NA
"540",-11.85,NA,NA,NA
"541",-11.6,NA,NA,NA
"542",-11.45,NA,NA,NA
"543",-10.55,NA,NA,NA
"544",-10.29,NA,NA,NA
"545",-10.75,NA,NA,NA
"546",-10.56,NA,NA,NA
"547",-10.53,NA,NA,NA
"548",-10.5,NA,NA,NA
"549",-9.29,NA,NA,NA
"550",-9.07,NA,NA,NA
"551",-9.41,NA,NA,NA
"552",-9.62,NA,NA,NA
"553",-9.18,NA,NA,NA
"554",-8.63,NA,NA,NA
"555",-8.3,NA,NA,NA
"556",-8.98,NA,NA,NA
"557",-8.53,NA,NA,NA
"558",-8.64,NA,NA,NA
"559",-7.34,NA,NA,NA
"560",-6.85,NA,NA,NA
"561",-6.9,NA,NA,NA
"562",-6.16,NA,NA,NA
"563",-6.46,NA,NA,NA
"564",-7.08,NA,NA,NA
"565",-7.19,NA,NA,NA
"566",-7.6,NA,NA,NA
"567",-6.9,NA,NA,NA
"568",-7.26,NA,NA,NA
"569",-6.71,NA,NA,NA
"570",-6.41,NA,NA,NA
"571",-5.12,NA,NA,NA
"572",-5.49,NA,NA,NA
"573",-3.99,NA,NA,NA
"574",-3.79,NA,NA,NA
"575",-3.17,NA,NA,NA
"576",-3.36,NA,NA,NA
"577",-2.47,NA,NA,NA
"578",-2.64,NA,NA,NA
"579",-2.89,NA,NA,NA
"580",-3.41,NA,NA,NA
"581",-3.64,NA,NA,NA
"582",-3.41,NA,NA,NA
"583",-2.41,NA,NA,NA
"584",-1.01,NA,NA,NA
"585",-0.28,NA,NA,NA
"586",0.42,NA,NA,NA
"587",-0.36,NA,NA,NA
"588",-0.09,NA,NA,NA
"589",0.42,NA,NA,NA
"590",0.95,NA,NA,NA
"591",1.31,NA,NA,NA
"592",1.08,NA,NA,NA
"593",1.46,NA,NA,NA
"594",1.67,NA,NA,NA
"595",2.59,NA,NA,NA
"596",2.73,NA,NA,NA
"597",1.91,NA,NA,NA
"598",2.47,NA,NA,NA
"599",3.03,NA,NA,NA
"600",3.19,NA,NA,NA
"601",2.31,NA,NA,NA
"602",2.86,NA,NA,NA
"603",3.29,NA,NA,NA
"604",1.5,NA,NA,NA
"605",1.17,NA,NA,NA
"606",1.2,NA,NA,NA
"607",1.61,NA,NA,NA
"608",0.76,NA,NA,NA
"609",0.61,NA,NA,NA
"610",0.55,NA,NA,NA
"611",1.98,NA,NA,NA
"612",2.61,NA,NA,NA
"613",3.67,NA,NA,NA
"614",3.26,NA,NA,NA
"615",3.7,NA,NA,NA
"616",3.02,NA,NA,NA
"617",2.95,NA,NA,NA
"618",2.41,NA,NA,NA
"619",1.66,NA,NA,NA
"620",1.44,NA,NA,NA
"621",1.21,NA,NA,NA
"622",1.96,NA,NA,NA
"623",2.7,NA,NA,NA
"624",2.84,NA,NA,NA
"625",2.09,NA,NA,NA
"626",3.2,NA,NA,NA
"627",3.08,NA,NA,NA
"628",3.05,NA,NA,NA
"629",3.82,NA,NA,NA
"630",5.47,NA,NA,NA
"631",6.4,NA,NA,NA
"632",8.05,NA,NA,NA
"633",8.65,NA,NA,NA
"634",7.04,NA,NA,NA
"635",9.09,NA,NA,NA
"636",9.16,NA,NA,NA
"637",9.23,NA,NA,NA
"638",9.8,NA,NA,NA
"639",10.74,NA,NA,NA
"640",11.44,NA,NA,NA
"641",9.89,NA,NA,NA
"642",9.09,NA,NA,NA
"643",10.26,NA,NA,NA
"644",11.12,NA,NA,NA
"645",13.27,NA,NA,NA
"646",15.52,NA,NA,NA
"647",18.41,NA,NA,NA
"648",20.84,NA,NA,NA
"649",24.2,NA,NA,NA
"650",21.69,NA,NA,NA
"651",20.94,NA,NA,NA
"652",23.41,NA,NA,NA
"653",25.22,NA,NA,NA
"654",24.16,NA,NA,NA
"655",21.83,NA,NA,NA
"656",21.36,NA,NA,NA
"657",22.49,NA,NA,NA
"658",23.35,NA,NA,NA
"659",24.97,NA,NA,NA
"660",24.86,NA,NA,NA
"661",24.89,NA,NA,NA
"662",22.45,NA,NA,NA
"663",21.44,NA,NA,NA
"664",19.33,NA,NA,NA
"665",19.09,NA,NA,NA
"666",18.37,NA,NA,NA
"667",19.33,NA,NA,NA
"668",20.13,NA,NA,NA
"669",20.41,NA,NA,NA
"670",20.24,NA,NA,NA
"671",21.57,NA,NA,NA
"672",22.93,NA,NA,NA
"673",23.25,NA,NA,NA
"674",25.05,NA,NA,NA
"675",26.15,NA,NA,NA
"676",25.79,NA,NA,NA
"677",27.25,NA,NA,NA
"678",29.43,NA,NA,NA
"679",30.31,NA,NA,NA
"680",28.23,NA,NA,NA
"681",27.98,NA,NA,NA
"682",26.3,NA,NA,NA
"683",25.27,NA,NA,NA
"684",23.61,NA,NA,NA
"685",26.97,NA,NA,NA
"686",27.05,NA,NA,NA
"687",26.16,NA,NA,NA
"688",27.3,NA,NA,NA
"689",28.01,NA,NA,NA
"690",27.04,NA,NA,NA
"691",26.87,NA,NA,NA
"692",26.75,NA,NA,NA
"693",28.73,NA,NA,NA
"694",29.86,NA,NA,NA
"695",31.05,NA,NA,NA
"696",30.26,NA,NA,NA
"697",31.23,NA,NA,NA
"698",30.99,NA,NA,NA
"699",30.24,NA,NA,NA
"700",31.24,NA,NA,NA
"701",30.94,NA,NA,NA
"702",30.78,NA,NA,NA
"703",30.78,NA,NA,NA
"704",30.91,NA,NA,NA
"705",31.84,NA,NA,NA
"706",30.17,NA,NA,NA
"707",28.23,NA,NA,NA
"708",28.23,NA,NA,NA
"709",27.9,NA,NA,NA
"710",26.72,NA,NA,NA
"711",25.6,NA,NA,NA
"712",27.39,NA,NA,NA
"713",28.19,NA,NA,NA
"714",27.35,NA,NA,NA
"715",27.63,NA,NA,NA
"716",27.92,NA,NA,NA
"717",30.48,NA,NA,NA
"718",30.51,NA,NA,NA
"719",30.29,NA,NA,NA
"720",30.69,NA,NA,NA
"721",31.79,NA,NA,NA
"722",31.11,NA,NA,NA
"723",31.19,NA,NA,NA
"724",30.57,NA,NA,NA
"725",31.05,NA,NA,NA
"726",30.26,NA,NA,NA
"727",28.69,NA,NA,NA
"728",29.03,NA,NA,NA
"729",29.33,NA,NA,NA
"730",30.77,NA,NA,NA
"731",31.2,NA,NA,NA
"732",29.12,NA,NA,NA
"733",28.54,NA,NA,NA
"734",26.73,NA,NA,NA
"735",27.53,NA,NA,NA
"736",29.32,NA,NA,NA
"737",29.47,NA,NA,NA
"738",29.15,NA,NA,NA
"739",29.42,NA,NA,NA
"740",29.65,NA,NA,NA
"741",31.13,NA,NA,NA
"742",31.56,NA,NA,NA
"743",32.92,NA,NA,NA
"744",34.05,NA,NA,NA
"745",35.24,NA,NA,NA
"746",35.67,NA,NA,NA
"747",35.53,NA,NA,NA
"748",36.21,NA,NA,NA
"749",37.91,NA,NA,NA
"750",40.21,NA,NA,NA
"751",41.1,NA,NA,NA
"752",41.31,NA,NA,NA
"753",43.85,NA,NA,NA
"754",44.33,NA,NA,NA
"755",45.62,NA,NA,NA
"756",43.87,NA,NA,NA
"757",43.87,NA,NA,NA
"758",42.84,NA,NA,NA
"759",42.69,NA,NA,NA
"760",42.39,NA,NA,NA
"761",42.62,NA,NA,NA
"762",42.89,NA,NA,NA
"763",44.9,NA,NA,NA
"764",45.13,NA,NA,NA
"765",43.58,NA,NA,NA
"766",43.89,NA,NA,NA
"767",43.28,NA,NA,NA
"768",41.68,NA,NA,NA
"769",41.77,NA,NA,NA
"770",43.2,NA,NA,NA
"771",41.88,NA,NA,NA
"772",41.13,NA,NA,NA
"773",39.41,NA,NA,NA
"774",39.68,NA,NA,NA
"775",40.88,NA,NA,NA
"776",41.36,NA,NA,NA
"777",40.18,NA,NA,NA
"778",38.16,NA,NA,NA
"779",37.51,NA,NA,NA
"780",38.21,NA,NA,NA
"781",38.33,NA,NA,NA
"782",38.16,NA,NA,NA
"783",36.96,NA,NA,NA
"784",35.32,2.3,NA,NA
"785",37.55,2.64,NA,NA
"786",37.83,2.74,NA,NA
"787",37.82,2.76,NA,NA
"788",38.55,2.9,NA,NA
"789",38.64,3.14,NA,NA
"790",36.88,2.87,NA,NA
"791",36.48,2.55,NA,NA
"792",36.56,2.69,NA,NA
"793",34.96,2.39,NA,NA
"794",35.23,2.43,NA,NA
"795",34.4,2.42,NA,NA
"796",32.91,2.33,NA,NA
"797",31.55,2.31,NA,NA
"798",29.55,1.59,NA,NA
"799",30.96,2.24,NA,NA
"800",32.59,2.49,NA,NA
"801",34.07,2.74,NA,NA
"802",35.45,2.84,NA,NA
"803",34.47,2.6,NA,NA
"804",34.23,2.47,NA,NA
"805",32.4,2.4,NA,NA
"806",30.76,2.09,NA,NA
"807",28.7,1.62,NA,NA
"808",28.46,1.37,NA,NA
"809",29.85,1.5,NA,NA
"810",29.13,1.24,NA,NA
"811",28.96,1.41,NA,NA
"812",30,1.63,NA,NA
"813",30.65,1.55,NA,NA
"814",30.52,1.62,NA,NA
"815",29.14,1.64,NA,NA
"816",28.79,2.02,NA,NA
"817",29.65,2.51,NA,NA
"818",29.18,2.28,NA,NA
"819",27.7,1.95,NA,NA
"820",27.29,1.91,NA,NA
"821",27.42,1.97,NA,NA
"822",27.81,1.99,NA,NA
"823",28.31,1.98,NA,NA
"824",28.1,2,NA,NA
"825",28.69,2.17,NA,NA
"826",29.48,2.23,NA,NA
"827",29.64,2.27,NA,NA
"828",30.21,2.44,NA,NA
"829",29.83,2.55,NA,NA
"830",30.68,2.6,NA,NA
"831",30.79,2.53,NA,NA
"832",29.11,2.08,NA,NA
"833",28.13,2.07,NA,NA
"834",28.18,2.14,NA,NA
"835",26.59,1.74,NA,NA
"836",26.04,1.52,NA,NA
"837",23.59,1.02,NA,NA
"838",23.89,0.83,NA,NA
"839",23.98,0.8,NA,NA
"840",24.18,1.05,NA,NA
"841",25.47,1.38,NA,NA
"842",26.27,1.4,NA,NA
"843",27.08,1.49,NA,NA
"844",27.3,1.6,NA,NA
"845",27.27,1.74,NA,NA
"846",26.62,1.83,NA,NA
"847",24.78,1.73,NA,NA
"848",23.1,1.28,NA,NA
"849",22.62,1.28,NA,NA
"850",22.77,1.39,NA,NA
"851",22.97,1.82,NA,NA
"852",23.1,2.05,NA,NA
"853",23.05,2.71,NA,NA
"854",22.88,2.94,NA,NA
"855",22.35,2.91,NA,NA
"856",21.78,2.65,NA,NA
"857",20.93,2.82,NA,NA
"858",20.37,2.87,NA,NA
"859",20.96,3.31,NA,NA
"860",20.47,3.34,NA,NA
"861",20.61,3.42,NA,NA
"862",20.77,3.35,NA,NA
"863",19.65,3.43,NA,NA
